similar,"n. 类似物
adj. 相似的"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏
"
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长
"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测
"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensitive,"adj. 敏感的；感觉的；[仪] 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意
"
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） [ 复数means ]"
meaning,"n. 意义；含义；意图
adj. 意味深长的
v. 意味；意思是（mean的ing形式）"
meanwhile,"adv. 同时，其间
n. 其间，其时"
matter,"n. 物质；事件
vi. 有关系；要紧
"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中
"
point,"n. 要点；得分；标点；[机] 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向
"
quality,"n. 质量，[统计] 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
relation,n. 关系；叙述；故事；亲属关系
relationship,n. 关系；关联
link,"n. [计] 链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来
"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
connection,n. 连接；关系；人脉；连接件
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱
"
mixture,n. 混合；混合物；混合剂
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
hobby,"n. 嗜好；业余爱好
"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道
"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的
"
tradition,n. 惯例，传统；传说
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销
"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
culture,"n. 文化，文明；修养；栽培
vt. [细胞][微] 培养（等于cultivate）"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
applicant,n. 申请人，申请者；请求者
application,n. 应用；申请；应用程序；敷用
candidate,n. 候选人，候补者；应试者
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认
"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；[语]构成
n. 比较
"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏
"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
selfish,adj. 自私的；利己主义的
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益
"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制
"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
congratulate,vt. 祝贺；恭喜；庆贺
congratulation,n. 祝贺；贺辞
patient,"n. 病人；患者
adj. 有耐心的，能容忍的
"
patience,n. 耐性，耐心；忍耐，容忍
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
considerate,adj. 体贴的；体谅的；考虑周到的
consideration,n. 考虑；原因；关心；报酬
optimistic,adj. 乐观的；乐观主义的
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
embarrass,vt. 使局促不安；使困窘；阻碍
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
nervous,adj. 神经的；紧张不安的；强健有力的
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的
"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧
"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
bit,"n. [计] 比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块
adj. 很小的；微不足道的
vt. 咬（bite的过去式和过去分词）
vt. 控制
adv. 有点儿；相当"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩
"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
peace,"n. 和平；平静；和睦；秩序
"
peaceful,adj. 和平的，爱好和平的；平静的
neighbourhood,n. 邻近；周围；邻居关系；附近一带
neighborhood,n. 附近；街坊；接近；街区
countryside,n. 农村，乡下；乡下的全体居民
system,n. 制度，体制；系统；方法
systematic,adj. 系统的；体系的；有系统的；[图情] 分类的；一贯的，惯常的
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物
"
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑
"
function,"n. 功能；[数] 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读
"
energy,n. [物] 能量；精力；活力；精神
energetic,adj. 精力充沛的；积极的；有力的
power,"n. 力量，能力；电力，功率；政权，势力；[数] 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进
"
powerful,"adj. 强大的；强有力的
adv. 很；非常"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
product,n. 产品；结果；[数] 乘积；作品
output,"n. 输出，输出量；产量；出产
vt. 输出"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加
"
effort,n. 努力；成就
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
possibility,n. 可能性；可能发生的事物
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
risk,"n. 风险；危险；冒险
vt. 冒…的危险
"
article,"n. 文章；物品；条款；[语] 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
goods,n. 商品；动产；合意的人；真本领
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
procedure,n. 程序，手续；步骤
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
participate,"vi. 参与，参加；分享
vt. 分享；分担
[ 过去式participated 过去分词participated 现在分词participating ]"
demand,"n. [经] 需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问
"
quantity,n. 量，数量；大量；总量
progress,"n. 进步，发展；前进
vi. 前进，进步；进行
"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值
"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
dozen,"n. 十二个，一打
adj. 一打的"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计
"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的
"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生
"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
adult,"n. 成年人
adj. 成年的；成熟的"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
youth,n. 青年；青春；年轻；青少年时期
childhood,n. 童年时期；幼年时代
mankind,n. 人类；男性
beast,n. 野兽；畜生，人面兽心的人
creature,n. 动物，生物；人；创造物
homeland,n. 祖国；故乡
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理
"
agency,n. 代理，中介；代理处，经销处
citizen,n. 公民；市民；老百姓
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
usual,adj. 通常的，惯例的；平常的
unusual,adj. 不寻常的；与众不同的；不平常的
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
practical,adj. 实际的；实用性的
involve,vt. 包含；牵涉；使陷于；潜心于
indicate,vt. 表明；指出；预示；象征
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
destroy,vt. 破坏；消灭；毁坏
upper,"adj. 上面的，上部的；较高的
"
beneath,"prep. 在…之下
adv. 在下方"
prove,"vi. 证明是
vt. 证明；检验；显示"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
approval,n. 批准；认可；赞成
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
foresee,vt. 预见；预知
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
examination,n. 考试；检查；查问
exam,n. 考试；测验
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试
"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金
"
financial,adj. 金融的；财政的，财务的
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；[象棋]将一军
vt. 检查，核对；制止，抑制；在…上打勾
"
cheque,n. 支票
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
operation,n. 操作；经营；[外科] 手术；[数][计] 运算
accumulate,"vt. 积攒
vi. 累积；积聚"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的
"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
physical,"n. 体格检查
adj. [物] 物理的；身体的；物质的；根据自然规律的，符合自然法则的"
physics,n. 物理学；物理现象
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个
"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
accurate,adj. 精确的
accuracy,n. [数] 精确度，准确性
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
fun,"n. 乐趣；玩笑；有趣的人或事
adj. 供娱乐用的
vi. 开玩笑"
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
cautious,adj. 谨慎的；十分小心的
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
tolerate,vt. 忍受；默许；宽恕
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要
"
positive,"n. 正数；[摄] 正片
adj. 积极的；[数] 正的，[医][化学] 阳性的；确定的，肯定的；实际的，真实的；绝对的"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；[主用于法律]了结，终止，结束"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
society,n. 社会；交往；社团；社交界
policy,n. 政策，方针；保险单
political,adj. 政治的；党派的
politics,n. 政治，政治学；政治活动；政纲
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）
"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟
"
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
darkness,n. 黑暗；模糊；无知；阴郁
behalf,n. 代表；利益
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
vain,adj. 徒劳的；自负的；无结果的；无用的
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞
"
stadium,n. 体育场；露天大型运动场
per,"prep. 每；经；按照；每一
"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行
"
platform,n. 平台；月台，站台；坛；讲台
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
situation,n. 情况；形势；处境；位置
circumstance,n. 环境，情况；事件；境遇
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
status,n. 地位；状态；情形；重要身份
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队
"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化
"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕
"
income,n. 收入，收益；所得
salary,"n. 薪水
vt. 给...加薪；给...薪水"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
bonus,"n. 奖金；红利；额外津贴
"
credit,"n. 信用，信誉；[金融] 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
unemployment,n. 失业；失业率；失业人数
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
quit,"n. 离开；[计] 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止
"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
labour,n. （英国）工党
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦
"
pregnant,adj. 怀孕的；富有意义的
atmosphere,n. 气氛；大气；空气
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述
"
statement,n. 声明；陈述，叙述；报表，清单
phenomenon,n. 现象；奇迹；杰出的人才
moment,"n. 片刻，瞬间，时刻；重要，契机
"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来
"
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
delight,"n. 高兴
vt. 使高兴
vi. 高兴
"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
forbid,vt. 禁止；不准；不允许；〈正式〉严禁
ban,"n. 禁令，禁忌
vt. 禁止，取缔
"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
disagree,vi. 不同意；不一致；争执；不适宜
shallow,"n. [地理] 浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅
"
constant,"n. [数] 常数；恒量
adj. 不变的；恒定的；经常的
"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的
"
mainland,"n. 大陆；本土
adj. 大陆的；本土的
"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的
"
latter,"adj. 后者的；近来的；后面的；较后的
"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛
"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
wag,"n. 摇摆；爱说笑打趣的人
vt. 摇摆；摇动；饶舌
vi. 摆动；喋喋不休；蹒跚而行"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
across,"prep. 穿过；横穿
adv. 横过；在对面"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
receive,"vt. 收到；接待；接纳
vi. 接收"
receipt,"n. 收到；收据；收入
vt. 收到"
reception,n. 接待；接收；招待会；感受；反应
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
admission,n. 承认；入场费；进入许可；坦白；录用
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
disadvantage,n. 缺点；不利条件；损失
drawback,n. 缺点，不利条件；退税
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
achievement,n. 成就；完成；达到；成绩
acquire,vt. 获得；取得；学到；捕获
acquisition,n. 获得物，获得；收购
inquiry,n. 探究；调查；质询
enquiry,n. [计] 询问，[贸易] 询盘
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决
"
judgement,n. 意见；判断力；[法] 审判；评价
judgment,n. 判断；裁判；判决书；辨别力
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语
"
justice,"n. 司法，法律制裁；正义；法官，审判员
"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
entertainment,n. 娱乐；消遣；款待
divide,"n. [地理] 分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
division,n. [数] 除法；部门；分配；分割；师（军队）；赛区
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
rid,"vt. 使摆脱；使去掉
"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走
"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰
"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸
"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲
"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员
"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地
"
collection,n. 采集，聚集；[税收] 征收；收藏品；募捐
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
load,"n. 负载，负荷；工作量；装载量
vi. [力] 加载；装载；装货
vt. 使担负；装填"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救
"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足
"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做
"
tournament,n. 锦标赛，联赛；比赛
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进
"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
universe,n. 宇宙；世界；领域
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
nation,"n. 国家；民族；国民
"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
nationality,n. 国籍，国家；民族；部落
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
worldwide,"adj. 全世界的
adv. 在世界各地"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
widespread,adj. 普遍的，广泛的；分布广的
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿
"
courtyard,n. 庭院，院子；天井
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
dorm,"n. 宿舍（等于dormitory）
"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
arrangement,n. 布置；整理；准备
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出
"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到
"
length,n. 长度，长；时间的长短；（语）音长
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
