a bit,"na. 有点儿〔作副词用〕
"
feel one's way,"na. 摸索着走；行动谨慎
"
feel sorry for,"对...感到懊悔, 对...感到遗憾, 为...感到惋惜, 对...感到怜悯"
fight against,"v. 反对
"
fight for,"v. 争取
"
figure out,"na. 估计；解决；了解；〈口〉确定
"
fill in,"na. 填充；填写；同“fill”
"
fill out,"na. 填写(表格等)；变胖；长胖；胖起来
"
fill up with,"v. 装满
"
find out,"na. 查出；发现；看清…的面目；识破
"
first of all,"na. 第一
"
fit for,"v. 适合；对…恰当
"
be fit for,"na. 适于
"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fit up, 放置好; 装备必需品; 给（某人）安排住处; 给（某人）硬套罪名
fix a date for,无
fix on, 把…固定住; 把…集中在…上; 确定; 选定
fix upon,"na. 决定
"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
focus upon, 专注于；集中于
fold up,"na. 折起；放弃；倒塌；〔俚语〕倒闭
"
follow sb.'s advice,无
follow up,"v. 把…探究到底；回答
"
for a moment,"na. 片刻
"
for a start, 首先；正蠢蠢欲动；开始
for ages,"na. 久远
"
for an instant,"na. 一瞬间
"
for certain,"na. 的确
"
for ever,"adv. 永远地；永恒地；〈非正式〉无休止地；永无止境地
n. 永恒；相当长的时间
"
for example,"na. 例如
"
for fear of,"na. 因为怕；唯恐
"
for free, 免费地；免费的；为了免费
for lack of,"na. 因缺乏…
"
for nothing,"na. 徒然；白白；没有结果；免费
"
for one's part,"na. 至于某人
"
for one thing ... for another,无
for sale,"na. 出售(的)
"
for short,"na. 简称
"
for sure,"adv. 确实
"
for the benefit of,"na. 为…(利益)打算；〔反意语〕为惩戒…
"
for the moment,"na. “for this moment”的变体
"
for the purpose of,"na. 为…
"
for the sake of,"adv. 为了…起见
"
forget to do sth., 忘记去做某事；忘记要去做某事；忘记要做某事
free of charge,"na. 免费
"
from ... on,adv.再向前
from the bottom of one's heart,"na. 自心底
"
from ... to ..., 从到；从什么到什么；起止时间
from time to time,"na. 时时
"
gain access, 获得访问权限
have access,无
gain access to,"na. 接近；会见；接通(计算机)
"
have access to,"na. 得接近；得会见；得进入
"
gather up,"na. 收集；总括(事件)；蜷缩(手,脚等)；集中力量
"
gaze at,"v. 凝视；注视
"
generally speaking,"na. 一般地说；一般地说来
"
get about,"na. 走动；旅行；(消息等)传开；忙于工作
"
get around,"na. 回避(事实)；往来；避开(法律等)；智胜(某人)
"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
"
get ahead,"na. 获得成功；前进
"
get along,"na. 过日子；生活；团结；进步
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get along with,"na. (工作)进行
"
get on with,"na. 同“get along ”
"
get away,"na. 逃脱；出发；把…送出
"
get back,"na. 取回；回来；送回；〈俚〉报复
"
get close, 靠近；接近拍摄物；靠拢过来
get close to, 接近；靠近；与接近
get down,"na. 开始认真对待；落下；下车；写下
"
get down to,"v. 认真对待
"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get in touch, 取得联系；联系我们；和某某人联系
get in touch with,"na. 和…联系
"
get into,"na. 进入；穿上；成癖；陷于
"
get involved with,"na. 给…缠住
"
get married,"na. 结婚
"
get married to, 与某人结婚；和……结婚；与…结婚
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on,"na. 上马；安上；过日子；相投 (with together)
"
get out of control,"na. 控制不住
"
get over,"na. 同“get across”
"
get rid of,"na. 除掉；摆脱；撵走
"
get through,"na. 花光；了结；(使)通过(议案)；及格
"
get to,"na. 接触到；开始；〈美口〉收买
"
get to one's feet,un. 觉得胆小；站起来
get together,"na. 聚集；集合；汇齐；积累
"
get up,"na. 起床；起身；站起来；叫…起床
"
get used to,"na. 变得习惯于
"
give an account of,"na. 叙述；说明
"
give away,"na. 赠送；分发；放弃；露马脚
"
give back,"na. 归还；返回；往后站；凹陷
"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
give ... credit for,"na. 把…贷给(某人)；把…归功于(某人)；认为当然有(某种性质等)
"
give in,"na. 让步；屈服；投降；上交
"
give life to,无
give off,"na. 发散(水蒸气等)
"
give out,"na. 发表；放出；分发
"
give sb. a hand,"un. 制住；帮着干一点
"
give sb. a lift, 让…搭车；搭便车
give up,"na. 放弃；断绝；投降；自首
"
give way to,"v. 让步；退却
"
glance at,"v. 看一下；浏览
"
glare at,"v. 怒目而视
"
go about,"na. 走来走去；着手(工作)；(谣言等)流传；【航】掉转船头
"
go after,"na. 追求
"
go against,"na. 违背；不利于
"
go ahead,"na. 取得进展
"
go along,"na. 前进
"
go away,"na. 离开；带走
"
go back on,"na. “Go back from”的变体
"
go bad,"na. (食品,蛋等)坏掉
"
go by,"na. 走过；以…为根据(作判断)；〈美〉顺道访问；受…所控制
"
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
"
go for a walk,"v. 出去散步
"
go in for,"na. 赞成；寻求；参加
"
go into,"na. 进入；(门等)通着；加入；参与
"
go mad,"na. 发狂
"
go off,"na. 进行得 (well； badly)；(话等)冒出
"
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
"
go out,"na. 出去；灭；辞职；下台
"
go over,"na. 仔细查看；仔细搜查；排练；重温
"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
"
go up,"na. 上升；上城市去；腾贵；烧起来
"
go wrong,"na. 走错路；失败
"
graduate from,"v. 毕业于
"
green with envy,"na. 十分妒嫉
"
grow up,"na. 长大
"
had better,"na. 最好；最好…
"
hand back,"v. 归还
"
hand down,"na. 宣布(判决等)；传下来
"
hand in,"na. 交进
"
hand on,"na. 依次传递
"
hand out,"na. 分；拿出来；施舍
"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
"
hang about,"na. 荡来荡去；缠住不放；在附近逗留
"
hang in, 坚持住；C悬而未决；坚持不懈
hang on,"v. 坚守；守住；坚持；支撑着
"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
happen on,"na. 偶然看到
"
happen to,"v. 发生于
"
hardly ever,"na. 难得；很少
"
hardly ... when,几乎未来得及就…；刚一…就…
have a class, 上课；学生上课
have classes, 上课；下棋；到了上课的时间了
have a cold,"na. 伤风
"
have a gift for, 有某方面的天赋；对……有天赋；有……的天赋
have a go,"un. 走到…身边；试一试；好好干一场
"
have a good time,"na. 过得愉快；很愉快
"
have a great time,"na. 过得很愉快
"
have a hand in,"na. 干与
"
have a population of,无
have a say in,"v. 对…有发言权
"
have a taste of,"na. 尝一口…看看
"
have a temperature,"na. (体温)比正常高
"
have a word with,"na. 和…说一句话
"
have an appetite for,"na. 爱好(音乐)
"
have an effect on,"na. 对…有影响
"
have an eye for,"v. 对…有鉴赏力
"
have an impact on, 对…有影响；对…起作用，产生效果；对于…有影响
have desire to do,无
have difficulty in, 在……方面有困难；在某方面有困难；在……有困难
have difficulty with, 与---有分歧；相处不好；做某事有困难
have faith in,"na. 相信
"
have fun in,"玩得开心
有乐趣"
have fun with, 玩得高兴；从…中得到乐趣；做某事有乐趣
have to,"modalv. 不得不；必须；劝告或建议时用；表示一定真实或肯定发生
v. 不得不；必须；一定；应当
"
have got to,"v. 必须
"
have ... in common,"un. 没有共同之处；有某些共同之处
"
have influence on, 对某物施加影响；对……产生影响；有影响
have an influence on, 影响；对…有影响；影响例句
have sb. do, 妈妈说话；迫使某人做某事；对你妈妈说话
have sth. do, 妈妈说话；迫使某人做某事；对你妈妈说话
have sb. doing,无
have sth. doing,无
have something to do with,"v. 关系到
"
have sth. done, 现在完成时；所做的每一件事；表示做了不必做的事
have sth. on one's mind,惦记；挂在心上；为…担心，忧虑(某事)
have sth. in stock,无
have sth. to do, 不得不做某事；必须做某事；应该做什么事
have to,"modalv. 不得不；必须；劝告或建议时用；表示一定真实或肯定发生
v. 不得不；必须；一定；应当
"
have trouble doing, 做某事有困难；做……有困难；做某事有麻烦
have trouble in doing,无
have words with,"na. 和…争论
"
hear about,"v. 得知；听到关于
"
hear of,"na. 听说；获悉；收到…的消息；知道
"
hear from,"na. 得到…的消息
"
hear out,"v. 听完
"
heart and soul,"na. 全心全意地
"
help oneself,"un. 放荡不羁；实在山穷水尽；自救
"
help oneself to,"na. 自由取食；任意占用[取用]
"
help ... out,"v. 帮助…摆脱困境；救出；协助
"
help sb. with,"v. 帮助
"
here you are,"un. 给你
"
hit on,"na. 忽然想到；偶然发现；无意中发现；〈非正式〉搭讪
"
hit upon,"v. 碰巧发现；忽然想出
"
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
hold down,"na. 压制；牵制；阻止；压低(物价等)
"
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
"
hold one's breath,"na. 屏息
"
hold out,"na. 伸出；提出；维持；制止
"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
"
how about, 怎么样；如何；怎麽样
how far,"na. (离…)多远；到什么程度[范围]
"
how long,"conj. 多长时间
"
how many,"na. 多少
"
how much,"conj. 多少
"
how often,"conj. 多长时间一次
"
how old,"conj. 多少岁
"
how soon, 多久；多快；多久以后
hundreds of,"na. 好几百
"
hunt for,"na. 追猎；搜寻
"
hurry into,(使)匆忙进入…; (使)赶快〔匆忙〕开始从事〔做〕…
hurry up,"na. 催促；赶快
"
if only,"na. 只要；只要…就好了
"
if possible,"na. 可能的话
"
impress on,"v. 给…深刻印象；盖印于
"
impress ... with,"v. 深深打动
"
improve on,"na. 改良
"
improve upon,作出比…更好的东西;对…作出改进
in a dilemma, 处于进退两难的境地；左右为难；进退维谷
in a flash,"na. 刹那间；瞬间；一下子
"
in a hurry,"na. 匆忙；〈口〉容易地；急于要；〔口语〕愿意地
"
in a rush,"un. 排在一起的；忙；急于…；着急
"
in a moment,"na. 立刻；立即
"
in a nutshell,"na. 极简单地
"
in a row,"na. 成一排；连续
"
in a way,"na. 在某一点上
"
in a whisper,"na. 悄声
"
in whispers,无
in a word,"na. “in a few words”的变体
"
in accordance with,"na. 照；与…一致
"
in addition,"na. 加之
"
in advance,"na. 预先；在先头
"
in agreement with,"na. 符合…照…
"
in aid of,"na. 以助…
"
in all,"na. 总计
"
in amazement,"na. 骇然
"
in answer to,"na. 作为对…的回答
"
in any case,"na. 无论如何；横竖
"
in appreciation of,"na. 因赏识…而
"
in battle, 在战斗中；在战争中；争斗
in brief,"na. 简单地说
"
in case,"na. 以防万一；作为准备；如果；免得〔用作连词〕
"
in case of,"na. 要是
"
in cash,"un. 占…便宜；用现钱支付的
"
in celebration of,"na. 为庆祝…
"
in charge,"na. 主任[主管]
"
in charge of,"na. 受托…的
"
in common,"un. 和…有相通之处；公有
"
in company,"na. 在大伙中
"
in comparison with,"na. 和…比起来
"
in comparison to,"un. 与…相比
"
in conclusion,"na. 最后
"
in ... condition,"un. 病势很重；高兴；健康状况好
"
in confidence,"na. 秘密地
"
in contrast to,"un. 相形之下；与…相比；与…相反；与…对比
"
in control,"na. 由…控制(住)
"
in control of,"na. 由…控制(住)
"
in danger,"na. 在危险中
"
in debt,"un. 背上了债；负债；欠款
"
in demand,"un. 要求；抢手
"
in detail,"na. 详细
"
in disguise,"na. 假装的；伪装的
"
in effect,"na. 实际上；总之；有效
"
in English, 用英语；用英语说；用英语表达
in error,"na. 弄错了的；错误地
"
in exchange, 作为交换；作为对…的交换；为了换取
in existence,"na. 现存的；存在的
"
in face of,"v. 当面对
"
in the face of,"na. 不避；不管；〈英〉在…前面；面临
"
in fact,"na. 事实上；总之
"
in favor of,"na. 赞成；有利于；付与
"
in force,"na. 大举；有效
"
in front,"na. 在前方；在人注意的地方
"
in front of,"na. 在…的前面
"
in future, 今后；将来；从今以后
in general,"na. 一般；大体上
"
in hand,"na. 现有；(工作)正在进行；控制住
"
in harmony,"un. 〔音〕和弦；和声；协调一致地
"
in harmony with,"un. 协调一致地；跟…调和；和衷共济；与…相合
"
in honor of,"na. 向…表示敬意
"
in hospital, 住院；在医院；生病住院
in line,"un. 把话说死；排队；循规蹈矩；一列的
"
in memory of,"na. 纪念…
"
in nature,"na. 现在存在；事实上；究竟
"
in need, 在危难中；需要帮助的；在困难时
in need of,"adj. 需要
"
in no case,"na. 决不
"
in no hurry,"na. 不急于…；不愿意；不容易
"
in no time,"na. 立刻
"
in one's opinion,"na. 据某人意见
"
in one's view, 依某人看来
in one's sight, 照某人的眼光看来；在视线内
in one's turn,"na. 接替
"
in order,"na. 整整齐齐；合规则；情况正常；健康
"
in order that,"na. 以便
"
in order to,"na. 为了；从而；以便
"
in other words,"na. 换句话说
"
in pairs,"na. “in a pair”的变体
"
in part,"na. 一部份地；有几成；在某种程度上
"
in particular,"na. 特别；一一
"
in peace,"na. 平平安安；安心
"
in person,"na. 亲自；身体上；外貌上
"
in place,"na. 得其所；适当的
"
in place of,"na. 代替
"
in possession of,"prep. 占有
"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
"
in praise of,"na. 称赞[赞美,歌颂]…
"
in preference to,"prep. 在…之前
"
in private,"na. 秘密地
"
in public,"na. 公然
"
in rags,"na. 成碎片；穿着破衣服
"
in reality,"na. 事实上；实在
"
in recognition of,"na. 承认…而
"
in relief,"na. 浮雕一般；鲜明地
"
in response to,"na. 应…而
"
in return,"na. 作报复[报酬,回答,报答]；作替换
"
in ruins, 成为废墟；一片废墟；成废墟
in search of,"na. 寻找；去找；追求；为了寻求
"
in season,"na. (水果等)正旺；当令；应时；时机正好的
"
in shape,"un. 完全不；情况；模样
"
in short,"na. 简单地说；总之
"
in sight,"na. 看得见；“in/within sight”的变体
"
in silence,"na. 沉默着
"
in some case, 在某种情况下；在某些方面
in spite of,"na. spite of 不管；〔古语〕无视
"
in store,"na. 准备着
"
in sum,"na. 总之
"
in support of,"na. 支持；支援；拥护
"
in surprise,"adv. 惊奇地
"
in terms of,"na. 依…；从…方面；用…特有的字眼
"
in that case,"na. 既然是那样
"
in the abstract,"na. 抽象地
"
in the area of, 在…领域；科学领域
in the balance,"na. 犹豫未决
"
in the beginning,"na. 当初
"
in the charge of,"na. 在…看护下的
"
in the company of,"un. 跟…在一起；在…面前；在…的簇拥下
"
in the course of,"na. 在…之中
"
in the distance,"na. 在远处；在很远的那边
"
in the end,"na. 终于
"
in the flesh,"na. 亲身；以肉体形式；活着的
"
in the form of,"na. 用…的形式
"
in the front of, 在……的前部；在……的前面；在里面的前面
in the future,"adv. 今后
"
in the history of,无
in the hope of,"na. “in hopes of”的变体
"
in the least,"adv. 全然
"
in the long run,"na. 归根到底；“in the long run/term”的变体
"
in the meantime,"na. 在这期间
"
in the middle of,"na. 正在…当中；在…的中途；在…的中央；在…的中部
"
in the mood for,"na. 想…
"
in the open air,"na. 在户外[野外]
"
in the way,"na. 在路上；妨碍
"
in one's way,"na. 本来；有特色的
"
in the world,"na. 在世界上；究竟
"
in theory, 理论上；从理论上看；在理论上
in this way,"na. 用这个办法
"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in total,"adv. 全部；完全
"
in trouble,"na. 为难；被捕；未婚怀孕
"
in turn,"na. 挨次
"
in use,"na. 正在用；通行；“in/out of use”的变体
"
in vain,"na. 无益地；轻慢地
"
in view of,"na. 鉴于；为要；在…能看见的地方；估计[预料]到才
"
in want of,"na. 需要…(的)
"
increase ... to, 增加到；增长到；增加到多少
infer from,"v. 推断
"
inferior to,"adj. 次于
"
insist on,"v. 坚持；强调
"
insist upon,"v. 坚持；强调
"
insist that,vt.坚持要
instead of,"prep. 代替；作为…的替换
"
join hands,"na. 联合；同…合伙开店；同…结婚
"
join in,"na. 参加；参与
"
join the army,"na. 参军；入伍
"
join up,"na. 入伍；联合起来；同“join”
"
jot down,"v. 草草记下
"
judge by,"v. 以…来判断
"
judge from,"v. 以…来判断
"
judging by, 从…判断；根据来判断；从…来判断
judging from, 从…判断；根据……来判断；根据……判断
jump in,"un. 倒退；投入；从中间插话；打圆场
"
jump the queue,"na. 不按次序排队；企图获得优惠待遇
"
just a minute,"na. “wait/just a minute”的变体
"
just a moment,"na. “just/wait a moment”的变体
"
just about,"na. 正是…附近
"
just now,"na. 刚才；正在
"
just so,"na. 正要那样
"
just then,"na. 正在那时
"
keep a record, 保持记录；作记录；记录下来
keep a record of,"un. 公开(提倡)；把…记下来
"
keep an eye on,"v. 密切注意
"
keep an eye out, 警惕；注意；密切注意
keep an eye out for,"na. 记住
"
keep at,"na. 纠缠；坚持地做
"
keep away,"na. 不挨近
"
keep away from,"v. 远离
"
keep back,"na. 隐瞒；阻止；阻止向前；忍住
"
keep fit,"na. 保持健康
"
keep from,"na. 避开；禁止；抑制；隐瞒
"
keep ... from,"na. 避开；禁止；抑制；隐瞒
"
keep ... in mind,"na. 记在心里；记住；注意
"
keep in touch, 保持联系；保持联络；再联系
keep in touch with,"v. 与…保持接触
"
keep it up,"na. 加紧做；坚持做下去
"
keep off,"na. 不让接近；不接近
"
keep on doing, 继续做某事；坚持做某事；继续作某事
keep one's balance,"na. 保持身体平衡；镇定
"
keep one's eyes on,"注视,监视"
keep one's head,"na. 不慌不忙
"
keep one's promise,"na. 遵守诺言；守约
"
keep a promise,"na. 遵守诺言；守约
"
keep one's word,"na. 守约；履行诺言；说话算话
"
keep out,"v. 防止进入；阻止；不参加
"
keep pace with,"na. 赶上；保持同步；随着…而增长
"
keep to,"v. 坚持；固守
"
keep up,"na. 支持；保持；继续；停歇
"
keep up with,"na. 不落后
"
kick off,"na. (足球)中线开球；开始(某种活动)；死；踢脱(鞋等)
"
kill off,"na. 消灭
"
kill time,"v. 消磨时间
"
kind of,"na. 有点儿；有几分
"
knock about,"n. 武打戏的表演[演员]；结实的东西；狠斗；流浪汉
adj. 吵闹的；〈口〉流浪的；(衣服)结实的
"
knock around,"na. “knock about”的变体
"
knock at,"na. 敲(门,窗等)
"
knock on, 敲击; <非正>（使）增加; 不停地工作; 取消
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
"
knock into,"na. 敲进
"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
"
knock out,"na. 敲出；敲空；使屈服；使无用
"
knock over,"na. 弄倒；屈服；死；逮捕
"
knock up,"na. 〈英口〉(使)筋疲力尽；赶做；敲起；(在板球赛中)很快得分
"
know about,"v. 知道
"
know of,"v. 知道有
"
know ... by heart, 记在心中；能背上来
know ... from,"v. 辨识；区别
"
lack of,"v. 缺乏
"
land on one's feet,"na. 逢凶化吉
"
last but not least,"na. 最后但不是最不重要的一点
"
later on,"na. 过后；后来
"
laugh at,"na. 嘲笑；付之一笑；因…而发笑
"
laugh one's head off,"na. 狂笑不已
"
lay aside,"na. 保存；放在一边；丢弃；留着
"
lay down,"v. 躺下；不反抗；屈服；顺从
"
lay eggs,"na. 产卵
"
lay off,"na. 辞退；停止；暂停
"
lay out,"n. 布局；设计；规划；安排
"
lay up,"na. 切入篮；“lay in”的变体
"
lead a ... life,"过活,过日子"
lead the way,"na. 领路
"
lead to,"na. 通向
"
lead up to,"na. 渐渐诱入；【牌戏】设法引出
"
learn about,"v. 得知关于；学习关于
"
learn of,"v. 得知；获悉
"
learn ... by heart,"na. 记住；熟记
"
learn from,"v. 学习
"
least of all,"na. 尤其是
"
leave a message,"na. 留话
"
leave ... alone,"na. 丢下不管；不要管
"
leave aside,"v. 不考虑
"
leave behind,"na. 遗留；留下；追过；留在后头
"
leave for,"un. 到…地方去；去某地:
"
leave off,"na. 戒除；不再穿；休假许可
"
leave out,"na. 遗漏；忽略；〈口〉(告诉某人)停下来
"
leave school,"na. 退学；离校；(毕业)离校；放学回家
"
lend sth. to sb.,"un. 贡献:
"
less than,"adj. 少于
"
let alone,"na. 任随；更不用说；放任；莫说…(连)
"
let down,"na. 使失望；放下；丢面子
"
let go,"v. 放手；解雇；松手；忽视
"
let in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
let out,"na. 放宽；打；放出；泄漏
"
let sb. do sth.,无
let up,"na. 中止；(风雨等)减弱
"
lie down,"v. 躺下；不反抗；屈服；顺从
"
lie in,"na. 存在于；(分娩后)坐月子
"
lie to,"na. (船)顶风停住；集中全力在 …
"
lie with,"na. 和…发生性关系；(责任,义务,决定权等)在于…
"
lift up,"na. 同“lift”；提起来
"
link ... to ...,"un. 同…有联系；与…有牵连
"
link up,"na. 联合
"
link up with,"na. 和…同盟；结亲
"
listen to,"v. 听
"
little by little,"na. “by little and little”的变体
"
live by,"na. 靠…为生；住在…附近
"
live in,"na. 住进；(雇员)住在东家
"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
"
live through,"na. 度过
"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
"
lock up,"na. 上锁；监禁；收藏(文件等)；固定(资本)
"
log in,"na. 进入电脑工作系统；“log on”的变体
"
log on,"un. 注册
"
long after,"na. 很久之后
"
long before,"na. 很久以前；老早以前
"
long for,"v. 渴望
"
look about,"na. 四下里看；观察形势；戒备；计划行动
"
look around,"na. 看起来好像；环视
"
look about for,"na. 四下寻找
"
look around for, 四处寻找；到处搜查
look after,"na. 照看；照顾；看管；对…负责
"
look ahead,"na. 考虑未来；“look/think/plan ahead”的变体
"
look as if,"v. 似乎
"
look at,"na. 看；考虑
"
look away,"na. 把脸转过去
"
look away from,"v. 视线避开
"
look back on,"v. 回顾
"
look down on,"v. 轻视；看不起
"
look down upon,"v. 轻视
"
look for,"v. 寻找；探索；渴望；盼望
"
look forward to,"na. 盼望
"
look in,"na. 看看；顺便访问 (on somebody)
"
look in on, 1。 顺便拜访; 2。 短暂拜访; 3。 乘便拜访
look in at,"v. 看
"
look into,"na. 窥视；调查；过问
"
look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
look on,"na. 旁观；面向；看做
"
look upon,"na. 像很健康；看上去漂亮；(事情)顺利
"
look on ... as, 把……看作；把看做；把当作看待
look upon ... as,"v. 视为；认为
"
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
look out for,"v. 照料；寻求；期待；提防
"
look over,"na. 浏览；检查；察看
"
look the same, 看起来一样；看起来很像；看上去一样
look through,"na. 浏览；翻查；对…视而不见；看穿
"
look to,"na. 依赖；注意；照料；〈美〉倾向…
"
look up,"v. 查找；查阅；探望；看望
"
look up and down,上下打量
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
"
lose control,"un. 掌管；失去自制能力
"
lose control of,"na. 失却对…的控制力
"
lose face, 丢脸，失去自尊与别人的信任，失去尊严/影响力/名望; 坍台; 现眼; 面上无光
lose heart,"na. 沮丧
"
lose interest in,"v. 对…丧失信心
"
lose balance, 失调
lose one's balance,"na. 身体失去平衡；慌乱；跌倒
"
lose one's head,"na. 被砍头；着慌；被斩首；被搞糊涂
"
lose one's heart to,"na. 爱上
"
lose one's life,"na. 死；丢了性命
"
lose one's sight,"na. 失明
"
lose one's temper,"na. 发脾气；发怒
"
lose one's voice,"na. 嗓子哑了
"
lose one's way,"na. 迷路
"
lose out,"na. 失败
"
lose sight of,"na. 看不见了…；忘了…；失踪了
"
lose touch with,"v. 失去联系
"
lose weight,"un. 体重减轻
"
lots of,"adj. 许多；很多
"
major in,"v. 主修
"
make a bet, 打赌；打赌看谁先背下这篇文章；来场打赌
make a choice,"un. 不得不；除…外；没有别的选择；拿定主意
"
make a deal, 达成交易；达成协议；做交易
make a decision, 做出决定；做决定；作出决定
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
"
make a face,"un. 正视；做鬼脸
"
make a fire,"na. 生火
"
build a fire,"na. 生火
"
make a life, 谋生；生活；如何生活
make a living, 谋生；度日；维持生计
make one's living,"谋生, 挣钱度日, 维持生活"
make a mistake,"na. 犯错误
"
make a name, 蜚声；成名；出名
make a name for ...,"vt.使成名,扬名"
make a noise, （为某事而）吵吵嚷嚷，成为众人谈论或注意的对象，轰动一时; 闹
make a note of,"v. 记录
"
make a plan for,"v. 为…制定计划
"
make plans for,无
make a promise,"na. 约定；许诺
"
make a record, 录制唱片；制作唱片；做记录
make a speech,"na. 演说
"
make believe,"na. 假装
"
make contact with,"un. 与…接触
"
make do,"na. 用(某物)设法应付
"
make ends meet, 使收支相抵；量入为出；收支平衡
make both ends meet,"na. 使收支相抵；量入为出
"
make effort, 努力；做努力；作出努力
make for,"na. 有利于；对…有益；倾向于；支持
"
make friends, 交朋友；交友；结交朋友
make friends with,"na. 跟…做朋友
"
make fun of,"na. 嘲弄
"
make it,"na. 赶到；办成功；规定时间；〔美俚〕性交
"
make of ...,"na. “make certain”的变体
"
make one's fortune,发财；发迹，在社会上获得地位
make one's way,"na. 前往；发迹
"
make one's way to, 往……走去；转向；向……走去
make one's way towards ...,无
make out,"na. 理解；发现；起草；证明
"
make peace with,"v. 和…和好
"
make one's peace with,"na. 跟…讲和[重新和好]
"
make progress,"na. 前进；进展
"
make sb. do sth.,"na. 用(某物)设法应付
"
make sb.'s acquaintance,无
make sense,"na. (话等)有意义；合理；有道理；讲得通
"
make sense of,"na. 了解[弄懂]…的意义
"
make sure,"na. 尽力做到；深信；务必；务请
"
make the acquaintance of, 结识；和……相识；认识
make the best of,"v. 充分利用
"
make the most of,"na. 充分使用；尽量使好[不好]看；极为重视；尽量称赞[贬损]
"
make to sb.'s own measure,无
make up,"na. 弥补；起草；定；签订
"
make up for,"v. 偿还；赔偿
"
make up one's mind,"na. 决心 (to do)
"
make use of,"na. 使用
"
manage to,"v. 设法处理
"
mark out,"na. 指示；拟订(计划)；注意；选拔
"
masses of, 大多数；大量的；大部分
match up to,"v. 和…一样好
"
match up with,un. 与…配合
mean to do, 打算做某事；想要做某事；本意是想要做某事
meet with,"na. 碰见；遭遇；偶然发现；达到
"
millions of,"det. 数百万
"
mind out,"v. 留心
"
mind your own business, 管好你自己的事；少管闲事；别管闲事
miss out,"na. 错过(机会等)；遗漏
"
mistake ... for ...,"v. 把…错认
"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
mix with sb.,"v. 混合
"
model after,"v. 按模型制作
"
model on,"v. 按模型制作
"
more and more,"na. 越来越…
"
more or less,"na. 有几分；约；或多或少；一点也…
"
more ... than ...,"na. …以上；比…更
"
more than,"na. …以上；比…更
"
move away, 离开; 搬到别处去住; 改变（见解）; 挪开
move in,"v. 搬进；迁入
"
move off,"na. 离去；〔俚语〕死；(货物)畅销
"
move on,"na. 继续前进；(使)继续前进；〔交通警察命令〕向前!
"
move out,"na. 搬出；【军事】开始行动
"
much less,"na. “still less”的变体
"
much the same,"na. 差不多完全一样；一丘之貉
"
much too, 太；实在太；非常
must have done,"na. 必然；must = should 或 would surely
"
name after,"na. name for 用(别人,别物的名字)命名
"
narrow escape,"n. 九死一生
"
near by,"na. 在附近
"
needless to say,"na. 不用说
"
needn't have done,无
neither ... nor ..., 既不……也不；两者都不；均不
nervous about,无
be nervous about,无
never do, 决不做某事；从不做某事；从来不做某事
never mind,"un. 没关系；不要紧；开诚布公地谈
"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
"
no doubt,"na. 无疑地；〈口〉很可能
"
no less than,"prep. 多达
"
no longer,"na. 不再
"
no matter,"na. 没事儿
"
no more,"na. (此后)不再；死了；…也不[没有]
"
no more than,"na. 不过是；仅仅
"
no problem,"n. 没问题
"
no sooner ... than ..., 一……就；不早于；刚…就
no use,"na. 没(有)用(处)
"
no way,"na. 无论如何不
"
no wonder, 难怪；怪不得；不足为奇
none but,"na. 只有；除…以外谁都不
"
not all,"adv. 并非全部都
"
not always,"na. 不一定
"
not usually,无
not as ... as,无
not so ... as,"na. 不及(雪白)
"
not ... at all,"na. 毫无(=〔美国英语〕 You are welcome)
"
not ... but ...,"na. not but what… 虽不说不是
"
