a bit of,"na. 一点儿
"
once more,"na. 再一次；“once again/more”的变体
"
once upon a time,"na. 从前；很久很久以前；古时候
"
one after another,"na. 一个又一个地；陆续；相继
"
one another,"pron. 互相
"
one ... another ...,"pron. 互相
"
one by one,"na. 一个一个；一个一个地
"
one ... the other ..., 一个…另一个；其他中的一个；一套的
open up,"na. (打)开；割开；开发(资源)；揭示
"
or so,"un. 与其说…不如说…；大约
"
out of breath,"na. 大喘气
"
out of order,"na. 杂乱无章；不合规则；情况反常；有故障
"
out of style,"na. 没有样子；“in/out of style”的变体
"
out of work,"na. 失业；(机器等)有毛病
"
over and over again,"na. 翻来覆去
"
over there,"na. 在那边；〔美国〕在欧洲；〔大战用语〕在战地
"
part of,"adj. 部分
"
pass away,"na. 消失；Vi. 经过；去；终止
"
pass on ... to ..., 传递给；传给；传与后代
pass the time,"na. 消磨时间；打发时间
"
pass through,"na. 穿过；经历；经验；遭受
"
pay attention to,"na. 注意
"
pay no attention to,"v. 疏忽
"
pay for ...,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
places of interest,"un. 名胜
"
play a joke on,"v. 取笑
"
play a role in,"v. 起作用于
"
play a trick on,"na. 跟(某人)开玩笑；欺骗
"
play for,"un. 反复无常地玩弄手腕；拖时间；争取
"
play the piano,"na. 弹钢琴
"
play with,"na. 玩弄(火等)；以…自娱
"
plenty of,"na. 很多的
"
point out,"na. 指出
"
point to,"v. 指向；针对
"
pour ... into ..., 不断地[大量地]流进[涌进]; 注入; 灌注; 倾注
practice doing sth., 练习做某事；练习作某事；练习干某事
practice with,无
praise sb. for sth., 称赞；因…表扬某人；因某事称赞某人
prefer ... to ...,"un. 较喜欢；宁愿:
"
prefer to do sth. rather than do sth.,无
prevent ... from ..., 防止；阻止；预防
pros and cons,n. 利弊; 正反两方面; 优缺点; 赞成和反对的理由
protect ... from ..., 保护；保护……免受；不受…之害
provide sth. for sb.,"v. 为…作准备
"
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull out,"na. 拔(牙等)；把船划出；(车,船等)开出；(人)出发
"
put away,"v. 把…收起来；储存
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
be on,"un. 坏；进展顺利
"
put out,"v. 扑灭；熄灭；放出；伸出
"
put ... into ...,"na. 插入；注入；(船)入港
"
put ... to use,"na. 用
"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
put up with,"na. 忍住
"
quarrel about,"un. 找…的岔子；为…争论不休
"
quarrel with,"na. 和…争论
"
quite a few,"na. 很多；许多；相当多
"
rather than,"na. 而不
"
reach down,"v. 取下
"
reach for,"v. 伸手去取；伸手拉起
"
reach out to, 接触；把手伸向；联系
read a map, 看地图；看报；查阅地图
read a newspaper,无
receive ... from ..., 收到；接到；从…收到
refer to,"v. 查阅；提到
"
refuse to do sth., 拒绝做某事；拒绝去做某事；拒绝干某事
regard ... as ...,"v. 当作
"
rely on,"v. 依靠；信赖
"
remember doing sth., 记得做过某事；记得曾经做过某事；记得曾做过某事
remind ... of ...,"v. 提醒
"
remind sb. to do sth.,无
reply to,"v. 答复；回答
"
result from,"v. 由于
"
right away,"na. 立刻
"
right now,"na. 目前；方才
"
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
"
rob sb. of sth.,"v. 抢走
"
run a company, 经营一家公司；经营公司；开公司
run after,"na. 〈非正式〉追求；追赶；追捕
"
run off,"na. 逃走；流出；(火车等)出轨；越轨
"
run out of,"na. 用光…
"
rush hour,"n. (上,下班的)高峰期
"
rush out,"na. 赶制出来
"
save one's life, 挽救某人生命；挽救某人的生命；救某人的命
save up,"na. 同“save”；贮(蓄)
"
say hello to, 向……问好；向某人问好；打招呼
say to oneself,心里想到
search for,"na. 寻找；寻求；探求
"
see a film, 看电影；去看电影；去电影院看电影
see sb. off,"na. 送行；送别；告别；赶走
"
sell out,"na. 卖完；脱销；背叛；〈美口〉欺骗
"
send for,"na. 派人去叫[请]；遣人去拿；乞求
"
send ... to ...,"na. 付印
"
send up,"na. 弄上去；使上升；提出(报告等)；传递(球等)
"
set an example,"na. 树立榜样；示范；以身作则
"
set off,"na. 分；分割；划开；区划
"
set ... on fire,"na. 放火；放火烧；使兴奋
"
set the alarm clock,无
set up,"na. 建立；创立；发起；开办
"
shake hands with ..., 与…握手；与某人握手；和……握手
share ... with ...,"un. 合伙；合住；承担；跟…看法一致
"
shortly after,"na. …之后立即
"
shoulder to shoulder,"na. 密集；并肩；协力
"
shout at, 对……大喊；对…大声叫嚷；冲嚷嚷
show interest in,"v. 动心于
"
show off,"na. 卖弄；〈贬〉自以为是；趾高气扬；炫耀
"
show sb. around,"v. 带…参观
"
show sb. the way, 指路；带路；指引道路
show sb. sth.,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示
"
show the ticket,无
show up,"na. 显眼；揭发；嘲笑；露面
"
shut up,"na. 关住；监禁；密封；停止
"
side by side,"na. 并排着
"
sing sb.'s praises,无
sing sth.'s praises,无
sit down,"na. 坐下；住定；占有；(坐下来)开始工作(谈判等)
"
slow down,"na. 闲下来；减缓；放慢速度；减速
"
so as to,"na. (= in order to) 以便；为使
"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
"
so that,"conj. 因此；以便
"
so ... that ...,"所以,因而"
solve the problems,无
some day,"adv. 总有一天；有朝一日；将来
"
some time,"na. 早晚；一段时间
"
some ... others ...,"na. 另外什么人[什么东西]
"
sooner or later,"na. 迟早；早晚
"
sound like, 听起来像；听起来象；听看来像
sound sleep,"n. 熟睡
"
speak highly of,"na. 称赞；赞扬
"
speak of,"na. 讲起；特别推荐说
"
speak to,"na. 向…说；说到；招呼；恳求
"
speed up,"na. 加快(机器等的)速度；使加紧做
"
spend ... doing sth.,无
spend ... on sth., 花费；把…花在；在……方面花费
stand by,"na. 袖手旁观；站在旁边；待机；等待
"
stand for,"na. 〈口〉忍耐；忍受；主张；拥护
"
stand up,"na. 站起来；持久；露头角；〔美俚〕背约
"
start a club,无
start out,"na. 跳出；开始；〔俚语〕企图
"
start to do sth., 开始做某事；都可以表示开始做某事；开始做某事，两者无区别
start doing sth., 开始做某事；开始做某事，两者无区别；都可以表示开始做某事
stay away from,"un. 退避三舍；回避；不要到…去；停止和…交往
"
stay healthy, 保持健康；保持身体健康；健康保持
stay up,"na. 不去睡觉；不沉
"
step by step,"na. 一步一步；切切实实
"
stick to,"na. 忠于
"
stop doing sth., 停止做某事；停止正在做的事；停止正在做的事情
stop ... from ..., 阻止；阻止某事发生；阻止…做
study for,"v. 攻读
"
succeed in,"v. 成功于
"
such a fine day,无
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚[苦，损]; 闹; 罹
sum up,"na. 〈口〉概括；总结
"
surf the Internet, 上网；网上冲浪；上网冲浪
take a deep breath,"na. 行深呼吸
"
take a message for sb., 给…捎个信儿；为……留言；写留言
take a ride,"v. 去兜风
"
take after,"na. 尾随；仿效；像
"
take one's seat,"na. 就座；入座
"
take part in,"na. 参加；贡献
"
take an active part in,"na. 积极参加
"
take a risk,"na. 冒险；【保险】承保…的险；承受保险
"
take a vacation, 去度假；休假；自己放假
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
"
take an exam, 参加考试；应试；进行考试
take an interest in,"na. 对…感兴趣
"
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take care,"v. 当心；留心
"
take care of,"na. 照看；处理；清除
"
take charge of,"na. 看守
"
take different routes,无
take exercise,"na. 运动
"
take hold of,"na. “Catch hold of”的变体
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take it easy,"na. “take things easy”的变体
"
take notes,"na. 做记录
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take one's advice,无
take one's temperature,"na. 量体温
"
take one's time,"na. 从容
"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take out of,"na. 除去；要赔偿；报仇
"
take place,"na. 发生；举行
"
take pride in,"na. 以…自豪；对…感到满意
"
take sb.'s place, 解构发生；就位
take medicine,"na. 吃药
"
take sth. with sb., 携带；随身携带；带上
take the place of,"na. 接替某人的位置
"
take sb. seriously,"na. 重视；认真(想)；当真
"
take sth. seriously,"na. 重视；认真(想)；当真
"
take ... to ...,"na. 嗜好；开始；参加；逃入
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk about,"na. 讲(某事)
"
talk to sb.,"na. 向…谈；〔口语〕申斥
"
talk with sb.,"v. 与…谈话
"
teach oneself,"na. 自学；自修
"
teach sb. a lesson, 给…一个教训；给以教训；教训一顿
tell a lie,"v. 说谎
"
tell a story, 讲故事；说故事；讲述故事
tell ... from ...,"un. 辨别；区分开:
"
tell the truth,"na. 说实话
"
thanks for sth., 为……而感谢；为…感谢；因……而感谢
thank sb. for sth., 感谢；为……感谢；就…而感谢
thanks to,"v. 感谢；幸亏；多亏
"
the key to, 的答案；的关键；的钥匙
the same as,"adj. 与…同样
"
think about,"un. 思考；探讨；为…费心思；想像
"
think of,"na. 想起
"
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think up,"na. 想出；〔口语〕发明
"
thousands of,"adj. 几千；成千上万
"
three times a day,"na. 每天三次
"
throw about,"na. 到处抛扔；挥舞(手臂)；使…回转
"
throw around, 乱扔
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
tidy up,"v. 整理干净
"
tie up,"na. 绑；系；包扎；(船只)系泊
"
to be honest, 老实说；说实话；说实在的
to one's disappointment,"na. 失望的是
"
to one's joy,prep.使欣慰的
to one's surprise, 使……惊讶的是；竟然；让某人惊讶的是
to some extent,"na. 在某种程度上
"
to start with,"na. 首先
"
to tell the truth,"na. 实际是
"
too much,"na. 太过份
"
too ... to ..., 太……而不能；太……以致不能；用法
treat ... as ..., 对待；当作；当做
treat with,"un. 谈判；磋商:
"
try on,"na. 试穿；〈非正式〉搞恶作剧(以试探能否被容忍)；〈非正式〉耍花招
"
try one's best,"na. 尽全力
"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
try to do sth., 尽力做某事；努力做某事；试着做某事
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn ... into ..., 了解
turn left,"un. 向左转
"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn up,"v. 朝上翻；出现
"
up and down,"na. 忽上忽下；各处；来来去去；升降浮沉
"
upside down,"adv. 颠倒；倒转；翻转
"
use up,"na. 用完；耗尽
"
used to be,"n. 过时人物
"
used to do sth., 过去常常做某事；过去常做某事；过去常常作某事
wait for,"na. 等；等待
"
wait in line,"v. 排队等待
"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
walk down,"un. 散步消化食物
"
want to do sth., 想做某事；想要做某事；想要作某事
want sb. to do sth., 想做某事；想要做某事；想要作某事
warn sb. of sth.,"na. 警告(某人)有危险
"
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
"
watch a match,无
watch out for,"v. 期待；等待
"
watch TV,"v. 看电视
"
welcome to ...,"v. 欢迎来到
"
what if,"v. 应如何
"
what's more, 而且；另外；更重要的是
what's up, 什么事；怎么了；出什么事啦
wish sb. to do sth., 希望做某事；想做某事；希望去做某事
with difficulty,"na. 好容易才
"
with great care, 非常小心；小心翼翼；小心翼翼地
with one voice,"na. 异口同声；全场一致
"
with one's own eyes, 亲眼；亲眼看见；亲眼所见
with pleasure,"na. 高兴
"
with the help of ...,"prep. 借助于
"
with the purpose of ...,"prep. 目的为
"
without permission,"na. 未经许可
"
work as ..., 当；担任；担任…工作
work on,"na. 对…有效[有作用]；动(人,感情等)；向…做工作；左右
"
wonder if ..., 想知道是否；不知道；怀疑是否
work for ...,"na. 被…雇用着；为…尽力；参加
"
work out,"v. 作出；拟定；制定；计划一下
"
worry about,"v. 发愁；担忧；为…发愁；替…担忧
"
would like to do sth., 愿意做某事；想要做；想做
would love to do sth.,无
would rather ... than ...,宁愿...而不愿
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
write to sb.,"v. 写信给；开
"
year after year,"adv. 年复一年
"
year by year,"na. 年年；逐年
"
