abandon oneself to,"na. 恣意
"
let in,"na. 放入；嵌入；陷入…；〈俚〉欺骗
"
let off,"na. 放(枪,花炮等)；说出(俏皮话等)；宽恕
"
let out,"na. 放宽；打；放出；泄漏
"
let up,"na. 中止；(风雨等)减弱
"
lie down,"v. 躺下；不反抗；屈服；顺从
"
lie in,"na. 存在于；(分娩后)坐月子
"
lie with,"na. 和…发生性关系；(责任,义务,决定权等)在于…
"
lift up,"na. 同“lift”；提起来
"
link ... to ...,"un. 同…有联系；与…有牵连
"
link up,"na. 联合
"
link up with,"na. 和…同盟；结亲
"
listen to,"v. 听
"
little by little,"na. “by little and little”的变体
"
live by,"na. 靠…为生；住在…附近
"
live in,"na. 住进；(雇员)住在东家
"
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
"
live through,"na. 度过
"
live up to,"na. 量…过日子；实行(主义等)；够得上；达到预期标准
"
lock up,"na. 上锁；监禁；收藏(文件等)；固定(资本)
"
log in,"na. 进入电脑工作系统；“log on”的变体
"
log on,"un. 注册
"
long after,"na. 很久之后
"
long before,"na. 很久以前；老早以前
"
long for,"v. 渴望
"
look about,"na. 四下里看；观察形势；戒备；计划行动
"
look around,"na. 看起来好像；环视
"
look about for,"na. 四下寻找
"
look around for, 四处寻找；到处搜查
look after,"na. 照看；照顾；看管；对…负责
"
look ahead,"na. 考虑未来；“look/think/plan ahead”的变体
"
look as if,"v. 似乎
"
look at,"na. 看；考虑
"
look away,"na. 把脸转过去
"
look away from,"v. 视线避开
"
look back on,"v. 回顾
"
look back upon, 回忆；回溯
look down on,"v. 轻视；看不起
"
look down upon,"v. 轻视
"
look for,"v. 寻找；探索；渴望；盼望
"
look forward to,"na. 盼望
"
look in on, 1。 顺便拜访; 2。 短暂拜访; 3。 乘便拜访
look in at,"v. 看
"
look into,"na. 窥视；调查；过问
"
look like, 看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似
look on,"na. 旁观；面向；看做
"
look upon,"na. 像很健康；看上去漂亮；(事情)顺利
"
look on ... as ..., 把……看作；把看做；把当作看待
look upon ... as ...,"v. 视为；认为
"
look out,"na. 挑选；注意；看外头；展望 (on；over)
"
look out for,"v. 照料；寻求；期待；提防
"
look over,"na. 浏览；检查；察看
"
look the same, 看起来一样；看起来很像；看上去一样
look through,"na. 浏览；翻查；对…视而不见；看穿
"
look to,"na. 依赖；注意；照料；〈美〉倾向…
"
look up,"v. 查找；查阅；探望；看望
"
look up and down,上下打量
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
"
lose control of,"na. 失却对…的控制力
"
lose face, 丢脸，失去自尊与别人的信任，失去尊严/影响力/名望; 坍台; 现眼; 面上无光
lose heart,"na. 沮丧
"
lose interest in,"v. 对…丧失信心
"
lose one's balance,"na. 身体失去平衡；慌乱；跌倒
"
lose one's head,"na. 被砍头；着慌；被斩首；被搞糊涂
"
lose one's heart to,"na. 爱上
"
lose one's life,"na. 死；丢了性命
"
lose one's sight,"na. 失明
"
lose one's temper,"na. 发脾气；发怒
"
lose one's voice,"na. 嗓子哑了
"
lose one's way,"na. 迷路
"
lose out,"na. 失败
"
lose sight of,"na. 看不见了…；忘了…；失踪了
"
lose touch with,"v. 失去联系
"
lose weight,"un. 体重减轻
"
lots of,"adj. 许多；很多
"
major in,"v. 主修
"
make a choice,"un. 不得不；除…外；没有别的选择；拿定主意
"
make a decision, 做出决定；做决定；作出决定
make a difference,"na. 发生差别；使…有差别；(结果等)是重要的
"
make a face,"un. 正视；做鬼脸
"
make a living, 谋生；度日；维持生计
make one's living,"谋生, 挣钱度日, 维持生活"
make a promise,"na. 约定；许诺
"
make a speech,"na. 演说
"
make contact with,"un. 与…接触
"
make ends meet, 使收支相抵；量入为出；收支平衡
make an effort,"na. 努力作出
"
make for,"na. 有利于；对…有益；倾向于；支持
"
make friends, 交朋友；交友；结交朋友
make friends with,"na. 跟…做朋友
"
make fun of,"na. 嘲弄
"
make it,"na. 赶到；办成功；规定时间；〔美俚〕性交
"
make a fortune,"na. 发财
"
make one's fortune,发财；发迹，在社会上获得地位
make one's way to, 往……走去；转向；向……走去
make one's way toward,无
make one's way through,"vt.挤过,穿过"
make out,"na. 理解；发现；起草；证明
"
make progress,"na. 前进；进展
"
make sense,"na. (话等)有意义；合理；有道理；讲得通
"
make sure,"na. 尽力做到；深信；务必；务请
"
make the best of,"v. 充分利用
"
make the most of,"na. 充分使用；尽量使好[不好]看；极为重视；尽量称赞[贬损]
"
make up,"na. 弥补；起草；定；签订
"
make use of,"na. 使用
"
manage to do sth., 设法做某事；设法做成某事；设法做成了某事
masses of, 大多数；大量的；大部分
mean to do sth., 打算做某事；想要做某事；本意是想要做某事
mistake ... for ...,"v. 把…错认
"
mix up,"na. 调匀；混淆；使结交坏朋友；【拳击】猛烈互击
"
more and more,"na. 越来越…
"
more or less,"na. 有几分；约；或多或少；一点也…
"
more than,"na. …以上；比…更
"
much too, 太；实在太；非常
name after,"na. name for 用(别人,别物的名字)命名
"
narrow escape,"n. 九死一生
"
needless to say,"na. 不用说
"
neither ... nor ..., 既不……也不；两者都不；均不
never mind,"un. 没关系；不要紧；开诚布公地谈
"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
"
no longer,"na. 不再
"
no problem,"n. 没问题
"
object to,"na. 反对
"
occur to, 想到；被想起；被想到
of all time, 有史以来；一直；空前的
of course,"na. 当然
"
of one's own,"na. 自己的
"
of the moment,"na. 此刻
"
off duty,"na. 下班；在工作时间外
"
on account of,"na. 因为
"
on all fours,"na. 匍匐；完全一致的
"
on and on,"na. 不停地
"
on average, 平均；平均起来；通常
on behalf of,"na. 替；为…的利益
"
on board,"na. 在船上；〔美国〕在车上；〈口〉【棒】出垒
"
on business,"na. 因公
"
on condition that,"na. 在…的条件下
"
on contact,"联系
接触"
on contact with,prep.一经与...接触
on duty,"na. 在工作时间内；上班；值班
"
on earth,"na. 到底；在地球上；全然
"
on end,"na. 继续；竖着
"
on fire,"na. 燃烧着；兴奋着
"
on foot,"na. 步行；在进行中；徒步
"
on good terms with,"un. 相处得好；和…有交情
"
on guard,"na. 看守；值班
"
on hand,"na. 现有；〈美〉出席；〈美〉在近处
"
on holiday,"na. 在休假中
"
on occasion,"na. 有时；遇必要时
"
on offer,"na. 出卖
"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
"
on one's part,"na. 就某人方面；就…而言；由…表现出来的；由…所作出的
"
on one's way,"un. 无法；在路上；快要出头了
"
on the way,"na. 在路上；在旅行中；“on/along the way”的变体
"
on one's way to,无
on the way to,"un. 在途中
"
on principle,"na. 按照原则
"
on purpose,"na. 故意；意欲
"
on sale,"na. 出售的；上市的；出售(的)；廉价出售(的)
"
on second thought,"adv. 经过重新考虑
"
on second thoughts,"na. 经重新考虑后；再次考虑后
"
on show,"na. 成为展览物；被陈列着
"
on sight,"na. 在看不见的地方；〈口〉(瘦得)不成样子；〈口〉好到极点；无可争辩地
"
on the alert,"na. 警惕
"
on the basis of,"na. 以…为基础
"
on the brink of,"na. 即将要
"
on the contrary,"na. 反之
"
on the decline,"na. 没落；在低落中；在衰退中
"
on the increase, 在增加；正在增加；正在增长
on the one hand ... on the other ...,无
on the one hand ... on the other hand ..., 一方面…，另一方面…
on the phone,"un. 正在打电话
"
on the point of doing sth.,无
on the radio, 通过收音机；通过广播；通过无线电广播
over the radio,"从收音机中,用无线电,通过广播"
on the rise,"na. 在涨；在增加；好转
"
on the run,"na. 跑着
"
on the spot,"na. 当场；立刻；【商业】用现货[现款]；(人)准备妥当
"
on the stage, 在舞台上；当演员；在台上
on the tip of one's tongue, 就在某人的嘴边，某人差一点就能想起的; 话在嘴边
on the way out,"adv. 逐渐消失
"
on the whole,"na. 整体上说
"
on time,"na. 按时；及时
"
on top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
"
once again,"na. 一再；再一次；“once again/more”的变体
"
once in a blue moon,"na. 〈非正式〉难得；罕见；千载难逢
"
once in a while,偶尔；有时（等于every once in a while）
once more,"na. 再一次；“once again/more”的变体
"
once upon a time,"na. 从前；很久很久以前；古时候
"
one after another,"na. 一个又一个地；陆续；相继
"
one by one,"na. 一个一个；一个一个地
"
one day,"na. 有一天；(过去或将来的)某一天
"
only if,"conj. 只有当
"
only to do sth., 结果；表示出乎意料的结果；结果却
open up,"na. (打)开；割开；开发(资源)；揭示
"
operate on,"v. 对…施行手术；用…开动
"
or else,"na. 不然
"
or rather,"na. (或者)说得更正确点
"
or so,"un. 与其说…不如说…；大约
"
other than,"na. 与…不同；除了
"
ought to,"modalv. 应该；应当；（表示期望或可能发生的事）应该；（表示劝告或建议）应该
v. 应该
"
out of breath,"na. 大喘气
"
out of control,"na. 失去控制
"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
"
out of order,"na. 杂乱无章；不合规则；情况反常；有故障
"
out of place,"na. 不得其所的；不适当的；不相称的；碍事的
"
out of respect,无
out of sight,"adv. 无影无踪
"
out of the question,"adv. 不可能
"
out of work,"na. 失业；(机器等)有毛病
"
over and over,"na. 转来转去；〔主美〕反反复复
"
over and over again,"na. 翻来覆去
"
owe ... to ...,"v. 由于；把…归功于
"
owing to,"conj. 由于；因为
prep. 因为；由于
"
pack up,"na. 把…打成包；打包；捆好东西；解雇
"
participate in,"v. 参加；分享
"
pass away,"na. 消失；Vi. 经过；去；终止
"
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
"
pass down,"un. 过；一闪即逝；下达
"
pass on,"na. “pass away”的变体；递；传达；通过
"
pass out,"v. 昏倒；分发；主要用于英式英语
"
pass through,"na. 穿过；经历；经验；遭受
"
pass up,"na. 绝交；放过；不理；上
"
pay a visit to,"v. 访问；参观
"
pay attention to,"na. 注意
"
pay back,"na. 偿还；报答；向…报复；付还
"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
"
pay up,"na. (全部或按时)付清；缴清(股款等)
"
persist in,"v. 坚持
"
persuade sb. to do sth.,无
pick out,"na. 挑选；掘出；闻出；领会
"
pick up,"v. 拾起；探出；重新开始
"
pile up,"na. 堆积；积聚；(汽车等)挤在一起；(使)(船)搁浅
"
play a joke on,"v. 取笑
"
play jokes on, 戏弄；开玩笑；开……的玩笑
play a part in,"v. 贡献力量；起…作用
"
play a role in,"v. 起作用于
"
play with,"na. 玩弄(火等)；以…自娱
"
plenty of,"na. 很多的
"
point at,"v. 指向
"
polish up,"na. 完成；〔口语〕改善；同“polish”
"
pour in,"v. 蜂拥而来
"
pour out,"v. 倾吐；诉说
"
prefer to do sth., 更喜欢做某事；宁愿做某事；宁可做某事
prefer to do rather than do,无
prepare for, 准备；为…作准备；为…做准备
prevent sb. from doing sth.,无
protect ... against,"un. 防止；陪伴
"
protect ... from ..., 保护；保护……免受；不受…之害
provide sth. for sb.,"v. 为…作准备
"
provide sth. to sb., 提供给
pull down,"na. 挣钱；压低；拆坏(房子等)；(疾病使人)衰弱
"
pull in,"na. 使后退；节省(费用)；(火车等)到站；船靠近(海岸)
"
pull off,"na. 赢得；做成某事；(在路边)停车；〈非正式〉【计】下载
"
pull out,"na. 拔(牙等)；把船划出；(车,船等)开出；(人)出发
"
pull over,"na. (把衣裳)从头上套下来穿；推翻(桌子等)；〈口〉把(车)靠拢路边
"
pull round,"na. (使)恢复健康
"
pull through,"na. 恢复健康；痊愈；渡过难关
"
pull up,"v. 拔起；使…停下
"
push ahead with, 推进；努力推进；推动
push for,"un. 拢；推到后面去；力图争取
"
push on, 继续向前， 坚决进行下去; 用力推[压]…; 把…强加于…; 进栈
push on with,"v. 继续干
"
push one's way through,无
push over,"na. 推倒
"
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
"
put an end to,"na. 结束
"
put aside,"na. “set aside”的变体
"
put away,"v. 把…收起来；储存
"
put back,"v. 放回；推迟
"
put by,"na. 积蓄；避开(人,质问等)；搁在一边；同“put aside ”
"
put down,"na. 平定；贬低(的话)；(飞机的)降落
"
put forth,"na. [send out 或 throw out] a feeler (用言语或动作)探听别人的反应
"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
"
put ... in prison, 关进监狱；把……投入监狱；关押
put ... into ...,"na. 插入；注入；(船)入港
"
put sth. into action,"na. 实行；开动
"
put sth. into effect,"na. 实行
"
put sth. into practice,"na. 实行
"
put off,"na. 延期；辩解
"
put on,"na. 假话
"
put one's finger on, 点明；确切地指出；指出问题的症结所在
put one's foot in one's mouth,"un. 朗诵；胡说八道
"
put one's hand in one's pocket, 花自己的钱，自己挣钱; 解囊相助
put out,"v. 扑灭；熄灭；放出；伸出
"
put pressure on,"v. 对…施加压力
"
put pressure upon,vt.对...施加压力
put through,"na. 经受；测试；试验；使…通过
"
put together,"na. 编辑；拼拢；比较考虑；使结婚
"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
put up with,"na. 忍住
"
puzzle over,"v. 为…大伤脑筋
"
quantities of, 大量的；大批；其后谓语用复数
quarrel with sb. about sth.,无
quarrel with sb. over sth.,无
queue up,"n. 长队；车队；辫子
v. 把(头发)梳成辫子；〈英〉排(成)队
"
quite a few,"na. 很多；许多；相当多
"
rain cats and dogs,"v. 大雨倾盆
"
raise money,"na. 筹款
"
raise one's eyebrows,"表示惊讶或轻蔑[多用于被动语态]：

Eyebrows were raised when she came in barefooted.
她光着脚走进来,人人都大吃一惊。"
range from ... to ..., 范围从到；从……到……的范围；在……中变化
rather than,"na. 而不
"
rather too,"un. 稍嫌…一点
"
reach out,"na. 伸(手)；伸手(拿…)；(手)伸向前；(草木向…)生长
"
reach out to, 接触；把手伸向；联系
react against,"na. 反抗
"
react to,"v. 对…有反应
"
read out,v. 读出器，读出( readout的过去式和过去分词 ); 大声朗诵，宣读; 读出
reckon on,"v. 依赖；寄望于
"
recognize ... as ..., 认出是；承认是；认为是
recommend doing sth., 建议做某事；推荐做某事；建议干
recover from,"v. 恢复
"
refer to,"v. 查阅；提到
"
refer to ... as ...,"v. 提交；归类；称谓
"
reflect on,"v. 考虑；回想
"
refuse to do sth., 拒绝做某事；拒绝去做某事；拒绝干某事
regard ... as ...,"v. 当作
"
regardless of,"prep. 不管；不顾；不理会
"
regret doing sth., 后悔做过某事；后悔干了某事；后悔做了某事
relate to,"na. 有关联；与…有关；理解
"
relieve sb. of,"v. 解除
"
rely on,"v. 依靠；信赖
"
remark on,"v. 评论；批评
"
remark upon,"v. 评论；批评
"
remember doing sth., 记得做过某事；记得曾经做过某事；记得曾做过某事
remind sb. of sth.,"v. 提醒
"
remind sb. to do sth.,无
remind sb. not to do sth.,无
replace ... with ...,"v. 用…替换
"
remove ... from ...,"un. 被学校开除；不再需要
"
resign from,"v. 辞职
"
resign oneself to,"na. 听任
"
respond to,"v. 响应
"
result from,"v. 由于
"
result in,"na. 终于(失败)
"
retire from, 退休；从……退休；退出
return to,"v. 回到；返回；还给；降到
"
rid ... of ..., 摆脱；消除；使去掉
ride on,"un. 在…上运动:；依…而定:；骑在(马、自行车等)上:；在…上航行
"
right away,"na. 立刻
"
right now,"na. 目前；方才
"
ring back,"v. 回电话
"
ring off,"na. 挂断电话；〔美国〕停止说话；静默
"
ring out,"v. 响起
"
ring up,"v. 在收款机上结算；一段时间内收入或损失的钱；打电话给
"
rip off,"v. 剥削；抢劫；强奸；〈俚〉剽窃
"
rise to one's feet,"na. 站起来
"
rise up against,无
risk one's life,"na. 拼着财产
"
rob sb. of sth.,"v. 抢走
"
roll in,"na. (预约者,捐款等)滚滚而来；(浪)滚滚打来；大量进来；到达
"
roll over,"na. 滚动；使滚；〔美棒球〕得分；同“roll”
"
roll up,"na. 卷起(袖子)；包卷；积贮；缩成圆球
"
round up,"na. 弄成圆球；使数目恰好；使成一个整数；赶在一块儿
"
rule out,"na. 排除
"
run across,"na. “Come across”的变体
"
run after,"na. 〈非正式〉追求；追赶；追捕
"
run away,"na. 私奔；逃；弄不好
"
run for,"na. 去叫(…)；做…的候选人
"
run into,"na. 冲进；(河)注入(海)；撞上；到达
"
run out,"na. 耗尽；用光；过有效期；失效
"
run out of,"na. 用光…
"
run over,"v. 轧过；碾过；演练；排练
"
run through,"na. 穿过；匆匆忙忙看一遍；不间断地排练；花光
"
see sb. off,"na. 送行；送别；告别；赶走
"
send for,"na. 派人去叫[请]；遣人去拿；乞求
"
set in,"na. 固定；停当；涨潮；进来
"
set about,"na. 动手；开始；下手；着手
"
set an example to,"v. 给…树立榜样
"
set aside,"na. 搁置；拨出；驳回
"
set down,"na. 记入；登记；定；设
"
set fire to,"na. 点燃；放火
"
set foot on,"na. 踏上；“set foot on/in”的变体
"
set foot in,"na. 进入；“set foot on/in”的变体
"
set off,"na. 分；分割；划开；区划
"
set out,"n. 开始；出发；动身；准备
"
set up,"na. 建立；创立；发起；开办
"
settle down,"na. 定居；成家；移居；平静下来
"
show off,"na. 卖弄；〈贬〉自以为是；趾高气扬；炫耀
"
show up,"na. 显眼；揭发；嘲笑；露面
"
shut up,"na. 关住；监禁；密封；停止
"
side by side,"na. 并排着
"
so as to,"na. (= in order to) 以便；为使
"
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
"
so long as,"na. 只要；“as/so long as”的变体
"
speed up,"na. 加快(机器等的)速度；使加紧做
"
split up,"na. (使)分裂；〔美俚〕吵架；同“split”
"
stand by,"na. 袖手旁观；站在旁边；待机；等待
"
stand for,"na. 〈口〉忍耐；忍受；主张；拥护
"
stand out,"na. 突出；显著；不参加战争；抵抗到底
"
stare at,"na. 瞪着看
"
stay away,"v. 不在家；外出
"
stay in touch with, 与……保持联系；与……保持联络；和……保持联系
stay up,"na. 不去睡觉；不沉
"
stick out,"na. 突出；伸出手臂；伸展；(因为与众不同而)容易识别
"
stick to,"na. 忠于
"
succeed in doing sth., 成功做某事；做……成功；成功作某事
such as,"un. 例如；像；象…这样；诸如…之类
"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚[苦，损]; 闹; 罹
sum up,"na. 〈口〉概括；总结
"
switch on,"v. 打开；接通；参见
"
take a breath, 深呼吸；深深地吸一口气；喘口气
take a chance,"na. 冒险一试
"
take chances, 冒险；冒一冒险；碰碰运气
take a day off,"v. 休假一天
"
take a look at,"na. (仔细)看一看
"
take a walk,"na. 散步
"
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
"
take advantage of,"na. 乘；利用；欺骗；引诱(女人)
"
take after,"na. 尾随；仿效；像
"
take aim at,"na. (对…)瞄准
"
take an interest in,"na. 对…感兴趣
"
take apart,"na. 分解；拆分；剖析
"
take away,"adj. 买回去的
"
take back,"na. 退回；收回(说过的话)；承认…是错的；拿回
"
take ... by surprise,"v. 突然惊吓
"
take care,"v. 当心；留心
"
take care of,"na. 照看；处理；清除
"
take charge of,"na. 看守
"
take command of,"na. 担任指挥
"
take control of, 控制；掌管；取得对……的控制
take down,"na. 扯下；卷起；记下；卸下
"
take effect,"na. 有效验；生效
"
take exercise,"na. 运动
"
take ... for example, 以…为例；打比方
take ... for granted,"v. 想当然
"
take hold of,"na. “Catch hold of”的变体
"
take in,"na. 加以考虑；〔美国〕访问；收进；收容
"
take ... into account,"na. 考虑
"
take ... into consideration,"v. 顾及
"
take it easy,"na. “take things easy”的变体
"
take measures,"na. 测定
"
take notice of,"v. 注意；理会；留心
"
take off,"v. (飞机)起飞；出去；拿掉；移送
"
take office,"na. 就职
"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
"
take one's seat,"na. 就座；入座
"
take one's time,"na. 从容
"
take out,"na. 取出；带出(散步等)；除去(污点等)；取得(专卖权等)
"
take over,"na. 接管；继承
"
take pains,"na. 费苦心；尽力
"
take part in,"na. 参加；贡献
"
take place,"na. 发生；举行
"
take possession of,"na. 占领
"
take pride in,"na. 以…自豪；对…感到满意
"
take risks,"un. 冒险
"
take sb. in one's arms,无
take sb.'s advice,无
take sb.'s place, 解构发生；就位
take sides with,"v. 袒护；拥护
"
take the lead,"v. 率先
"
take the place of,"na. 接替某人的位置
"
take turns,"na. 替换
"
take up,"na. 拿起；举起；拾起；给搭(火车等)
"
talk of,"na. 讲；说要
"
talk about,"na. 讲(某事)
"
talk to,"na. 向…谈；〔口语〕申斥
"
teach oneself,"na. 自学；自修
"
tear down,"na. 拆毁；扯下；猛冲
"
tear off,"na. 扯下来；扯掉；飞跑；〔美俚〕急急忙忙做成某事
"
tear up,"na. 撕碎；连根拔起；扰乱；跑上
"
tell a joke, 讲笑话；说笑话；讲个笑话
tell jokes, 讲笑话；说笑话；讲个笑话
tell a lie,"v. 说谎
"
tell lies,"v. 说谎
"
tell apart,"na. 辨别
"
tell by,"v. 依据
"
tell sb. about sth.,把某事告诉某人
tell the truth,"na. 说实话
"
test out,"na. 同“test”
"
thanks to,"v. 感谢；幸亏；多亏
"
that is to say,"na. “that is”的变体
"
the day after tomorrow,"na. 后天
"
the other day,"na. 上回
"
think about,"un. 思考；探讨；为…费心思；想像
"
think aloud,"na. 自言自语
"
think back to, 回想；回想过去；回忆起
think highly of,"na. 尊重；评价极高
"
think well of,"na. 认为好
"
think nothing of,"na. 轻视；满不在乎；不重视
"
think of,"na. 想起
"
think of ... as ..., 把…认为是；看作；把…当作
think out,"na. 想透；想出
"
think over,"v. 仔细考虑
"
think up,"na. 想出；〔口语〕发明
"
thousands of,"adj. 几千；成千上万
"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
"
throw light on,"na. 弄明白
"
throw off,"na. 摆脱(习惯,拘束等)；抛弃；脱掉(衣服)；甩掉
"
throw oneself on,"na. 依靠；求助于；完全依赖于；猛扑
"
throw up,"na. 呕吐；抛上；急造；丢弃
"
tidy up,"v. 整理干净
"
time and again,"na. “time after time”的变体
"
till now,"na. 迄今
"
tire out,"na. 使疲倦到极度
"
to be honest, 老实说；说实话；说实在的
to one's credit, 值得赞扬；为……带来荣誉；在……名下
to sb.'s delight,无
to sb.'s surprise,无
to the contrary,"na. 反对地
"
to the point,"na. 露骨；中肯
"
together with,"na. 和…一起[合起来]
"
too much,"na. 太过份
"
too ... to ..., 太……而不能；太……以致不能；用法
trade with,"un. 从事贸易；与…做生意:
"
translate ... into ...,"v. 译成
"
treat ... as ..., 对待；当作；当做
treat ... to ..., 款待；招待；请客
trick sb. into doing sth.,无
trip over,"un. 绊在障碍物上而跌跤:
"
try for,"na. 求；企图达到；立志要
"
try one's best,"na. 尽全力
"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
"
try to do sth., 尽力做某事；努力做某事；试着做某事
turn a blind eye to,"na. 对…熟视无睹；假装不见
"
turn against,"na. 背叛；使对抗；厌恶
"
turn around,"na. 转身；〈美〉使向好的方向转变
"
turn away,"v. 转变方向
"
turn back,"na. 同“turn down ”
"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
"
turn in,"v. 向里弯曲
"
turn into,"v. 变成
"
turn off,"v. 关掉
"
turn on,"na. 转向；对…进行突击
"
turn one's back on,"na. 不理睬；丢弃；逃出
"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
turn over,"na. ￡ 500 a week 每星期卖得五百镑
"
turn to,"v. 向(某人)求助；求助于
"
turn up,"v. 朝上翻；出现
"
under age,"na. 未成年
"
under any circumstances,"un. 不管怎样；无论如何
"
under all circumstances,"na. 无论如何
"
under construction,"na. 建筑中
"
under control,"un. 失去控制；被控制住；克制；在控制之下
"
under pressure,"un. 在压力下
"
under repair,"un. 在修理中；正在修理
"
under sb.'s direction,无
under the charge of,"na. 在…看护下的
"
under the name of,"na. = nameless.；名字说不出来
"
under way,"na. 进行着；【航海】航行中
"
up and down,"na. 忽上忽下；各处；来来去去；升降浮沉
"
up in the air,"na. 悬而未决的
"
up to,"na. 干(着)；到；胜任；…的责任
"
up to date,"adj. 现代的；最新的；时髦的；新式的
"
up to now,"na. 到现在为止
"
up until, 一直到…为止；不多于
upside down,"adv. 颠倒；倒转；翻转
"
use up,"na. 用完；耗尽
"
used to do sth., 过去常常做某事；过去常做某事；过去常常作某事
vary from ... to ...,"vi.从...到...不等,从...变化为"
view ... as ...,"把...看作..., 认为...是..."
vote against,"v. 投票反对
"
vote for,"na. 赞成；〈口〉建议
"
wait for,"na. 等；等待
"
wait on,"v. 等着
"
wait upon,"v. 侍候
"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
"
walk along,"na. 向前走
"
walk of life,"na. 职业；身分；阶级
"
wander about,"na. 徘徊
"
wander around, 徘徊；游荡；到处闲逛
warm up,"na. 加热；变暖；热中起来；【运】作准备动作
"
warn ... of ...,"na. 警告(某人)有危险
"
warn ... about ...,v. 就…提出警告
warn against sth.,"na. 告诫(某人)提防(别人)
"
warn sb. against doing sth.,无
wash away,"v. 清洗
"
wash down,"na. 洗掉；冲下
"
wash out,"v. 洗掉
"
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
"
waste ... doing sth.,无
waste ... on sth.,在(某方面)浪费时间，浪费钱财
waste ... in doing sth.,无
waste one's breath,"na. “waste one's words”的变体
"
watch for,"v. 期待；等待
"
watch out,"na. 当心；留神；小心；提防
"
watch over,"na. 监视；留心；看护
"
wear off,"na. (精力)衰退；(衣服等)渐破
"
wear out,"na. 精疲力尽；用坏；穿破；磨破
"
what about ...,"un. 不；…怎样
"
what for,"un. …怎样；为何；处罚；为什么
"
what if ...,"v. 应如何
"
what's more, 而且；另外；更重要的是
what's up, 什么事；怎么了；出什么事啦
what's wrong with ..., 怎么了；怎么啦；有什麽不对
whether ... or ..., 不管；不管…还是；是…还是
win back,"na. 努力收复(失地)
"
wind up,结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
wipe off, 揩去，擦掉; <口>勾销（债务）; 擦去; 揾
wipe out,"na. 擦去；【无线】遮蔽；遮蔽地域；【信】封闭
"
wish for,"v. 希望；想要
"
with an average of,无
with pleasure,"na. 高兴
"
with respect to,"na. 〈正式〉考虑到
"
with the help of,"prep. 借助于
"
with the purpose of,"prep. 目的为
"
within limits,"na. 适当地
"
within reach of,"na. 在…附近
"
without delay,"na. 赶快
"
without doubt,"na. 无疑
"
wonder at,"na. 看见…而惊奇；惊讶
"
work as, 当；担任；担任…工作
work at,"na. 从事；用功读
"
work on,"na. 对…有效[有作用]；动(人,感情等)；向…做工作；左右
"
work out,"v. 作出；拟定；制定；计划一下
"
worry about,"v. 发愁；担忧；为…发愁；替…担忧
"
would like to do sth., 愿意做某事；想要做；想做
would love to do sth.,无
would rather,"na. 宁愿
"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
"
year after year,"adv. 年复一年
"
year by year,"na. 年年；逐年
"
"year in, year out",na. 年复一年
yield to,"v. 服从；屈服于；弯曲
"
