a bit,"na. 有点儿〔作副词用〕
"
confer ... upon sb., 封立；授予
confess to sth.,"v. 承认
"
confess to doing sth.,无
confide in,"v. 信任；吐露秘密
"
conform to,"na. 遵照；顺应；遵守
"
conform with,"v. 符合
"
confuse ... with,"v. 混淆
"
consent to,"v. 同意；赞成
"
consist of,"v. 由…合成
"
consume sb. with,为(某种思想)而不断受折磨
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
"
convert ... into,"v. 转换成
"
convert ... to,"na. 使(某人)改信(某教,尤指改信基督教)
"
convert to,"na. 使(某人)改信(某教,尤指改信基督教)
"
convert sb. to,"na. 使(某人)改信(某教,尤指改信基督教)
"
convince sb. of,"na. 使(人)承认
"
cook up,"v. 伪造
"
cool off,"na. 变凉；使…冷静；(销量,价钱等)下降
"
cooperate with sb.,"un. 协作；合作
"
cooperate with sb. in doing,无
cope with,"v. 对付；应付
"
correlate with, 找出一一对应的关系；与…相关；使相互关联
correspond to,"v. 符合
"
count ... in,"na. 算入
"
count on,"na. 指望；预料到；期望
"
count up,"v. 数到；数完
"
couple ... with,"v. 连接；结合
"
cover up,"na. 包庇(某人)；为某人打掩护；蒙盖；隐蔽
"
crack up,"na. 夸奖；吹捧某人；(人,身体等)疲惫不堪；〔美俚〕(飞机)坠毁
"
crash down,"v. 下坠
"
crash into,"v. 撞入
"
credit ... to,"na. 把(某数)记入(某人)账户的贷方；把(成功)归(某人)
"
cross out,"na. 取消
"
cry out for,"v. 急需
"
cut across,"na. 对直穿过；同“cut”
"
cut away,"na. 切开；乱砍；逃走
"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
"
cut corners,"na. 走捷径
"
cut down,"na. 砍倒；削减；减价；夺去…活动力
"
cut in,"na. 突然插入；(汽车)超车；抢去别人的舞伴；在电话里窃听
"
cut into,"na. 插入话头；多嘴；打断(话头)突然加入
"
cut out,"na. 割掉；除去；剪下；开辟
"
cut off,"na. 削除；截止；截断(退路等)；割下来
"
cut short,"na. 打断(讲话)；使停止；缩减；从简
"
damp down, 使（某物表面）润湿; 使（兴趣、热情等）降低; 衰减; 减少
dash off,"na. 飞出；急忙离开；一气写成[写完](文章等)
"
date back to,"na. 回溯至
"
deal with,"na. 办理；对待；与…交涉；与…交易
"
decide on,"na. 决心
"
declare oneself,"na. 表明态度
"
decorate with,"v. 装饰以
"
dedicate oneself to,"na. 致力于
"
deep down, 本质上; 实际上; 事实上; 在内心深处
defend ... from,"na. 抵抗；否认
"
depend on,"v. 依靠
"
deprive ... of,"un. 剥夺
"
derive from,"v. 来自；起源于
"
descend from,"na. 是…的后裔
"
descend on,"na. 袭击；突然访问
"
descend to,"v. 降低身份；屈就；沦落
"
despair of,"v. 放弃希望
"
detach from,"v. 分离自
"
deviate from,"v. 越轨；违背
"
devote oneself to,"na. 专心从事(研究)；一味贪玩
"
die away,vt. 减弱，消失；渐熄；风，声音渐弱，渐息；（树木等）渐渐凋零，枯萎（根未死）；假死
die down,"na. 殉国
"
die of,"na. 因…而死
"
die from,"na. 因伤致死
"
die off,"na. 一个一个死去；顺次枯死
"
die out,"na. 死绝
"
differentiate between,"un. 区分
"
dig down,"na. 挖倒；掏腰包
"
dig up,"na. 查出；找到；开垦(荒地等)；采掘(山芋等)
"
dip into,"na. 舀出；取出；看一看；探究
"
disapprove of,"v. 不赞成
"
discourage sb. from doing,无
discriminate against,"na. 歧视
"
discriminate between,"v. 区别于
"
dish out,"na. 上(菜)；分配(饭菜等)；〈比喻〉托出；提供
"
dispense with,"na. 省；免除；没有也行；豁免
"
dispose of,"na. 安排；解决；办妥；杀掉
"
dispute with, 争执；争论；跟…争执
distinguish between,"v. 分清
"
distinguish ... from, 区别；区分；识别，辨别，辨认
distract ... from, 分散；转移；使人分心
do a bunk, <俚>逃之夭夭，溜之大吉
do away with,"na. 废除；干掉
"
do justice to,"na. 公平评判；公平对待；逼真；大吃
"
do the trick,"na. 达到目的
"
do up,"v. 修缮；收拾
"
do with,"na. 对付；忍耐；与…相处
"
do without,"na. 无需
"
do one's utmost,"na. 尽所有力量
"
try one's utmost, 竭力尽全力; 竭尽心力
double up,"na. 折；捏起(拳头)；(旅客等)同住一室；弯着身子
"
down with,"na. 拿下；打倒
"
doze off,"v. 打瞌睡
"
dozens of,"adj. 许多
"
drain away,"v. 流掉；外流
"
drag down,"na. 挣工资；赚(钱)
"
drag on,"na. 迁延；使拖延；拉长(声调等)；挨过
"
drag out,"na. “drag on”的变体
"
draw one's attention to,无
draw in,"na. 拉入；引入；收(网等)；收回(借款等)
"
draw on,"na. 穿；依赖；靠；吸收
"
draw oneself up,"na. 立直；高视阔步
"
draw out,"na. 抽出；拔出；掏出；提出
"
draw up,"na. 写出；正容；整(队)；拉起(鱼网等)
"
dream up,"na. 凭空想出；凭空捏造出
"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
"
drive away,"v. 赶走
"
drive one's point home,"宣扬某人的观点
阐明某人的观点"
drive out,"v. 逐出；乘车出去
"
drop by,"na. 随便访问一下
"
drop in,"(使)落进；(使)往里坍塌：
偶然(或顺便)走访(或访问)(on)；逐渐进入：
[口语](有选择地)加入；愿意(或决心)参加：
【戏剧】放下(吊幕)，吊装布景："
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
"
drown out,"na. (洪水)把(人)赶跑；把(另一声音)压倒[淹没,盖住]
"
drum up,"na. 招揽(顾客等)；招募(新兵等)；鼓励；激起
"
dry out, （使）变干， （使）干涸; <非正>（使）戒（酒、毒等）; 晾干
due to,"un. 由于；预定；因为；亏
"
dwell on,"na. 细想详述仔细研究强调；拖长(发音)仔细打量；减慢
"
dwell upon,"na. 细想详述仔细研究强调；盯着看；减慢
"
early on,"adj. 不久之前
"
earn one's living, 谋生；营生；挣钱维持生计
easy game, 爱是；容易捕获的猎物；易捕获的猎物
eat one's words,"na. 食言；收回自己说过的话；为自己说过的话道歉
"
eat up,"na. 吃完；消耗；沉迷于；很快走完(距离)
"
ebb and flow,"na. 消长；潮涨退；盛衰
"
economic recession,"un. 经济衰退
"
effect on, 对…的作用；影响；的作用，影响
elaborate on,"v. 详细说明
"
elbow sb. out of the way,无
eliminate from, 从…中消除；从……排除；去除
embark on,"un. 着手
"
embark upon,"un. 登
"
emerge from,"v. 从…里露出
"
end up doing,"结果是(做)..., 以(做)...而告终, 结果变成..., 最后发展为..."
end up with,"na. 以…而告终
"
endow ... with,"v. 捐助；赋予
"
engage in,"na. 从事；参加
"
enroll in,"v. 登记
"
enter into,"na. 入；动手；参加；缔结(协约等)
"
entitle sb. to,"un. 有资格
"
envision ... as,无
equip ... with,"v. 装备
"
err on the side of, 宁失之；在…做过了头；过分表现
even as,"na. 正如；正在…时
"
even if,"na. 即使…也
"
even though,"na. “even if”的变体
"
even now,"na. 甚至现在还；〈诗〉恰恰现在
"
even then,"na. 甚至那时候都
"
even so,"na. 即使如此；确是那样；〈古〉正是那样
"
ever since,"na. 从…以来
"
ever so,"na. 非常；大大；“ever so/ever such ”的变体
"
every bit,"na. 全部；由任何一点看；完全
"
every now and then,"na. 间或
"
every other,"na. 每隔；所有其他；每隔一；其他的…都
"
excel in,"v. 拿手于
"
except for,"na. 只有
"
exchange ... for,"un. 以…换:
"
exclude from, 把…排斥于…之外；把……排除在外；同上但是使用档案
exempt from,"v. 使…免除
"
exert oneself to do,无
exist in,"na. 存在于…中
"
explain away,"na. 巧辩过去
"
expose ... to,"un. 暴露于
"
extend from ... to,"vt.持续,延续"
extract from,"un. 榨出(汁等)；提取:；拔取；拔出
"
face to face,"na. 面对面
"
face up to,"na. 大胆面向；正面对付；同“face”
"
fade away,"n. 逐渐消失
"
fail to,"v. 未能；使…失望
"
fall back on,"na. 撤退到…线；求助于
"
fall behind,"na. 落后；跟不上；落下；拖欠
"
fall for,"v. 爱慕(某人)；赞赏(某事)；上当；受骗
"
fall in love,"v. 坠入情网
"
fall in love with,"na. 爱上
"
fall in with,"na. “meet with”的变体
"
fall into,"na. 开始；分解(成几部分)；陷入(网等)中；变成
"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
"
fall on,"na. 开始(行动)；袭击；适逢；忽然看出来
"
fall upon,"na. 开始(行动)；进攻；(节日)正当；忽然看出来
"
fall out,"v. 〈非正式〉吵架；争执；闹僵；分手
"
fall prey to, 被困：陷入困境，有遭受迫害、毁灭或侵袭的危险
fall short,"na. “come short”的变体
"
fall short of,"na. “come short”的变体；“fall short”的变体
"
fall through,"na. 失败
"
feed back,"adj. 【电】反馈的
"
feed into,"un. 注入；进入
"
feedback on, 反馈
feel the pinch, 感到手头拮据；会说手头拮据；感到经济拮据
fend off,"na. 挡开；避开(灾祸等)
"
fetch up,"na. 【航】到达；拿出；引起；收回
"
fight down,"na. 打败
"
fight for,"v. 争取
"
fight off, 在战斗[自卫]中击败（某人）; 竭力摆脱[驱走，阻止，回避…]; 辟
figure out,"na. 估计；解决；了解；〈口〉确定
"
file for, 申请；提起诉讼；提出申请
fill in,"na. 填充；填写；同“fill”
"
fill out,"na. 填写(表格等)；变胖；长胖；胖起来
"
fill up,"na. 同“fill”
"
find fault with,"na. 吹毛求疵；找…的岔子
"
finish off,"na. 同“finish”；完成；用完；吃完
"
finish up,"na. 完成；吃光；用尽；同“finish”
"
first of all,"na. 第一
"
fish for,"v. 间接探听；搜寻
"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fix on, 把…固定住; 把…集中在…上; 确定; 选定
flag up, 举旗
flare up,"na. 同“flare”；突然烧起来；突然发怒；忽然喧噪起来
"
flash back to, 闪回；倒叙
flatter oneself,"un. 自以为
"
flesh out,"na. 充实；使…具体化
"
flick through,"un. 浏览
"
flush with, 齐平的；同高的；羞愧
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
for purpose of, 为了；为了什么原因；为…的目的
for the purpose of,"na. 为…
"
for an instant,"na. 一瞬间
"
for fear of,"na. 因为怕；唯恐
"
for fear that,"na. 生怕
"
for good,"na. 永久地
"
for good and all,"na. 永久地
"
for instance,"na. 例如
"
for example,"na. 例如
"
for long,"na. 长久 longs and shorts 1. 诗〔尤指古希腊的和古拉丁的〕. 2. 【建筑】长短砌合
"
for one thing,"na. 第一〔表示列举〕；原因之一是
"
for short,"na. 简称
"
for sure,"adv. 确实
"
for the moment,"na. “for this moment”的变体
"
for the most part,"na. 在极大程度上；就绝大部分而言；多半；基本上
"
for the sake of,"adv. 为了…起见
"
for the time being,"na. 暂时；一时；临时；在目前
"
foul up,"na. 搞坏；同“foul”
"
free of charge,"na. 免费
"
free ... from,"na. 无…的
"
frighten away,"v. 吓走
"
from now on,"na. 从今以后
"
from then on,"na. 从那时起
"
from today on, 从今天开始；从今天起；从今日起
from scratch,"adj. 从零开始的；白手起家的
"
from the bottom up,"na. 从一开始；彻底地
"
from of spite,无
out of spite, 为泄恨；出于恶意；为出气
fulfill one's pledge,无
function as,"n. 起…的作用
"
furnish sth.,vt. 提供；供应；装备
furnish sth. to sb.,[口语]向(某人)提供…，
gain ground, 前进;  有进展;  越来越为人们所接受; 逼近
gain momentum, 势头增大；深入发展；发展加快
gather momentum, 不断兴起
gain control over,无
get control over,vt.控制
have control over,"un. 掌握；控制
"
gain an advantage over,"胜过,优于"
have an advantage over,"na. 胜过
"
gamble away,"na. 乱花；赌输掉
"
gang up,"na. 成群结队；勾结起来；集合
"
gather up,"na. 收集；总括(事件)；蜷缩(手,脚等)；集中力量
"
generate from,无
get about,"na. 走动；旅行；(消息等)传开；忙于工作
"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
"
get ahead,"na. 获得成功；前进
"
get along,"na. 过日子；生活；团结；进步
"
get around to,"v. 找时间做
"
get round to,"v. 找时间做
"
get around,"na. 回避(事实)；往来；避开(法律等)；智胜(某人)
"
get round,"na. 使敌对各方坐下谈判；同“get around ”
"
get at,"na. 抓住；了解；到达；拿得到
"
get away,"na. 逃脱；出发；把…送出
"
get by,"na. 走过；〈美〉勉强混过去
"
get cracking,"na. 〈非正式〉立即行动
"
get down,"na. 开始认真对待；落下；下车；写下
"
get down to,"v. 认真对待
"
get hold of,"v. 抓住；捉住
"
get in the way,"na. 妨碍
"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
"
get insight into,无
get into the habit of,"na. 养成某种习惯
"
get into,"na. 进入；穿上；成癖；陷于
"
get sb. nowhere,"na. (使)无效
"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
"
get on one's nerves,"na. 刺激神经；使人不安；惹恼人
"
get on with,"na. 同“get along ”
"
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
"
get over,"na. 同“get across”
"
get rid of,"na. 除掉；摆脱；撵走
"
get stuck in, 开始起劲地做某事; <俚>全神贯注吃饭或工作，使劲干
get the best of,"na. 获胜；胜过
"
get the better of,"na. 胜过
"
get the jump on,"na. 抢在…之前行动
"
get through,"na. 花光；了结；(使)通过(议案)；及格
"
get together,"na. 聚集；集合；汇齐；积累
"
get up,"na. 起床；起身；站起来；叫…起床
"
get ... by heart, 记住；背诵
learn ... by heart,"na. 记住；熟记
"
give away,"na. 赠送；分发；放弃；露马脚
"
give back,"na. 归还；返回；往后站；凹陷
"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
give in,"na. 让步；屈服；投降；上交
"
give off,"na. 发散(水蒸气等)
"
give oneself away,"na. 露马脚
"
give oneself up,"na. 决心；断念；专心于；投降
"
give out,"na. 发表；放出；分发
"
give place to,"na. 让位于
"
give priority to,"na. 把优先权让给…
"
give rein to,"na. 让马自由走；使…自由发挥；给…自由
"
give rise to,"na. 惹起
"
give sb. access to,"na. 接见；准许出入
"
give sb. an account of,"na. 叙述；说明
"
give shape to,"na. 给与一定的形状；弄成一个样子；使…成形；修整
"
give vent to,"na. 发泄
"
give way to,"v. 让步；退却
"
glare at,"v. 怒目而视
"
gleam with,表露某种情感
go about,"na. 走来走去；着手(工作)；(谣言等)流传；【航】掉转船头
"
go after,"na. 追求
"
go against,"na. 违背；不利于
"
go ahead,"na. 取得进展
"
go all out,"abbr. (=go all-out)全力以赴
"
go along with,"na. 陪[随]…一起去；赞同
"
go along,"na. 前进
"
go around,"na. 扑过去；兴冲冲开始干
"
go round,"na. 绕着走；迂回着走；运行；(食物等)人人分到
"
go back on,"na. “Go back from”的变体
"
go back to,"v. 追溯到
"
go by,"na. 走过；以…为根据(作判断)；〈美〉顺道访问；受…所控制
"
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
"
go downhill, 每况愈下; 走下坡路; 恶化; 衰落
go for,"na. 去喊；〈美〉拥护；被认为；袭击
"
go in for,"na. 赞成；寻求；参加
"
go in,"na. 进入；放得进；参加；(纸牌赌博中)开价
"
go into action,"na. 开始行动；投入战斗
"
go into detail,"na. 逐一细说
"
go into details,"na. 详述
"
go into,"na. 进入；(门等)通着；加入；参与
"
go off,"na. 进行得 (well； badly)；(话等)冒出
"
go on strike,"na. 实行罢工
"
go over,"na. 仔细查看；仔细搜查；排练；重温
"
go the round,传播
go the rounds,"na. 巡回；传遍
"
go the round of,"传遍,走遍"
go the rounds of,无
go through with,"v. 完成；做到底
"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
"
go to extremes,"na. 走极端
"
go to pieces,"na. “fall to pieces”的变体
"
go to war with,无
go under,"na. 沉没；没落；失败；屈服
"
go up,"na. 上升；上城市去；腾贵；烧起来
"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
"
go without,"na. 缺少；没有…而忍受过去
"
go wrong,"na. 走错路；失败
"
grab at,"na. 抓住不放
"
grieve for, 哀悼；缅怀；感到痛苦
grieve over,"v. 追念
"
grind away," 把…碾成粉末; 磨损, 用坏…; 苦干[学]; 反复不断地干"
grind at,无
grind out,"na. 碾成；单调地演奏手摇风琴；苦吟(诗句)
"
grope for,"v. 摸索；探索
"
grope around,= grope about
grow into,"na. “grow in”的变体
"
grow on,"na. (感觉,习惯等)加深对…的影响；(书,画等)渐渐把人迷住
"
grow out of,"na. 抛弃；戒除；长大而穿不上衣服；源出
"
guard against,"v. 防止；加以预防；抵御
"
hand down,"na. 宣布(判决等)；传下来
"
hand in hand,"na. 手拉手；联合
"
hand in,"na. 交进
"
hand on,"na. 依次传递
"
hand out,"na. 分；拿出来；施舍
"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
"
hand round,"na. 顺次传递；分交；传递给每一个人
"
hang about,"na. 荡来荡去；缠住不放；在附近逗留
"
hang around,"na. 在附近徘徊；踌躇不前
"
hang back,"v. 踌躇不前；退缩
"
hang on to,"na. 紧紧握住
"
hang on,"v. 坚守；守住；坚持；支撑着
"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
"
happen to,"v. 发生于
"
harmonize with,"vt.符合于,与...相称"
hate one's guts,对one恨之入骨
have a bearing on,"na. 关系到
"
have a knowledge of,无
have an acquaintance with sb.,"vt.了解,认识,熟悉"
have an advantage over,"na. 胜过
"
have an effect on,"na. 对…有影响
"
have an impact on, 对…有影响；对…起作用，产生效果；对于…有影响
have an influence on, 影响；对…有影响；影响例句
have no effect on,"un. 对…有作用；对…毫无影响；并不影响
"
have no impact on,无
have no influence on,无
have back,"un. 还给:
"
have confidence in,"信任,信赖 in confidence 秘密地,私下,暗中"
have faith in,"na. 相信
"
have in mind,"na. 记住；铭记不忘；注意
"
have influence on, 对某物施加影响；对……产生影响；有影响
have influence over, 有左右……的力量；有左右他们的力量
have no business, 没有权力或理由做某事；无权；没有理由
have no idea,"un. 心中有数；对…一无所知；感到茫无头绪；不想
"
have nothing to do with,"na. 办完；和…断绝关系；已和…无关
"
have nothing to lose, 不会有任何情况；没什么好损失的；没什么可输的
have on,"v. 戏弄
"
have one's hands full,"na. 手头事很多
"
have sympathy for,"对…同情,同情…"
have to do with,"na. 和…有关系
"
have trouble with,"v. 同某人发生纠纷
"
have access to,"na. 得接近；得会见；得进入
"
gain access to,"na. 接近；会见；接通(计算机)
"
have an insight into,"v. 看透
"
give an insight into,vt.深入地了解
head for,"na. 走向
"
heart and soul,"na. 全心全意地
"
help oneself,"un. 放荡不羁；实在山穷水尽；自救
"
help oneself to,"na. 自由取食；任意占用[取用]
"
help out,"v. 帮助…摆脱困境；救出；协助
"
help sb. toward,无
here and there,"na. 到处；零零落落
"
hinge on,"v. 随…而定；依赖
"
hinge upon,"v. 随…而定；依赖
"
hit on,"na. 忽然想到；偶然发现；无意中发现；〈非正式〉搭讪
"
hit upon,"v. 碰巧发现；忽然想出
"
hold in check,na. 阻止；制止
hold sth. in check,na. 阻止；制止
hold back,"na. 阻止；踌躇；隐瞒；抑制
"
hold down,"na. 压制；牵制；阻止；压低(物价等)
"
hold in contempt, 轻视，认为…不屑一顾; 不齿; 瞧不起; 看不上眼
hold off,"na. 拖延；抵抗(进攻等)；使不接近
"
hold on to,"na. 赖着不走
"
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
"
hold one's breath,"na. 屏息
"
hold one's own,"un. 忍耐一下；逐渐成为；打了个平手；比得上
"
hold out,"na. 伸出；提出；维持；制止
"
hold over,"na. 将…延迟；保存；期满后继续任职；期满后继续占有
"
hold sb. to ransom,无
hold to,"na. “Hold fast”的变体
"
hold true,"na. “Hold good”的变体
"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
"
hold with,"na. 同意；和…抱同一意见
"
home and abroad,"un. 国内外
"
hook up,"n. 【无线】试验线路；联播电台；联合
"
hope against hope,"na. 妄想
"
huddle up against,无
huddle up to,无
hunger for,"v. 渴望；渴求
"
hunger after, 极需…，渴望得到…
hunt down,"na. 四处搜捕；穷追到底；搜寻；寻找
"
hush up,"na. 掩盖
"
idle around,虚度时光; 在…附近闲逛
idle away,"v. 虚度
"
immerse ... in,将…浸在(水中); 使(自己)专心于〔沉浸于〕…
impact on, 影响；对…冲击，碰撞；对…之影响
impinge on,"v. 影响到；冲击；打击
"
impose on,"v. 强迫；欺骗
"
impose upon,"v. 强迫；欺骗
"
impress with,"v. 深深打动
"
impress sb. with,"v. 深深打动
"
in face of,"v. 当面对
"
in the face of,"na. 不避；不管；〈英〉在…前面；面临
"
in future, 今后；将来；从今以后
in the future,"adv. 今后
"
in light of,"na. 按照；根据；鉴于
"
in the light of,"na. 按照；以…的模样；当作…
"
in a rage,"na. 一怒之下
"
in a row,"na. 成一排；连续
"
in a sense,"na. 在某种意义上；有一点儿
"
in a way,"na. 在某一点上
"
in abundance,"adv. 充足
"
in accord with,"un. 符合；与…和谐；一致；与…观点一致
"
in accordance with,"na. 照；与…一致
"
in action, 在行动中；在起作用；行动中的
in addition to,"na. 加之
"
in addition,"na. 加之
"
in advance,"na. 预先；在先头
"
in agreement with,"na. 符合…照…
"
in all probability,"na. 大概
"
in all,"na. 总计
"
in alliance with,"na. 与…联合
"
in an instant,"na. 立刻
"
in and out,"na. 迂曲；忽隐忽现
"
in any case,"na. 无论如何；横竖
"
in any event,"na. “at all events”的变体
"
in any way,"adv. 完全是
"
in bad odor,声誉不佳
in bad odor with,名声不好
in black and white,"na. 白纸黑字；书面的
"
in brief,"na. 简单地说
"
in bulk,"na. 大批；不加包装
"
in case of,"na. 要是
"
in character,"na. (在)性格上；正合担任[扮演]；适当
"
in character with,"prep.与...相符,适合于"
in charge,"na. 主任[主管]
"
in charge of,"na. 受托…的
"
in chorus,"na. 合唱；异口同声地
"
in cold blood,"na. 蓄意地(而非出于一时冲动地)；残忍地；冷静地；若无其事地
"
in collaboration with,"na. 与…合作[合著,合编]；与…勾结
"
in common,"un. 和…有相通之处；公有
"
in comparison with,"na. 和…比起来
"
in confidence,"na. 秘密地
"
in conjunction with,"na. 与…共同；连带着
"
in connection with,"prep. 与…相关
"
in connection to, 关于
in consequence of,"na. 因为…的原故
"
in consequence,"na. 因此
"
in consideration of,"na. 因；以作…的谢礼
"
in contact with,"prep. 和…联系
"
in contrast with,"na. 和…成对比；和…大不相同
"
in contrast to,"un. 相形之下；与…相比；与…相反；与…对比
"
in control,"na. 由…控制(住)
"
in control of,"na. 由…控制(住)
"
in danger,"na. 在危险中
"
in danger of,"un. 遭逢不测；有…的危险
"
in debt,"un. 背上了债；负债；欠款
"
in default of,"na. 因无…
"
in depth,"na. 广泛
"
in despair,"na. 绝望地
"
in detail,"na. 详细
"
in dispute,"na. (在)争论中的
"
in earnest,"na. 诚挚
"
in effect,"na. 实际上；总之；有效
"
in embryo,"na. 未发达的；萌芽时期的；在计划中的
"
in essence,"na. 本质上；大体上
"
in evidence,"na. 明显的
"
in excess of,"na. 超过
"
in excess,"na. 过度
"
in existence,"na. 现存的；存在的
"
in favor of,"na. 赞成；有利于；付与
"
in force,"na. 大举；有效
"
in general,"na. 一般；大体上
"
in good temper,无
in half,"na. 成两半
"
in hand,"na. 现有；(工作)正在进行；控制住
"
in harmony,"un. 〔音〕和弦；和声；协调一致地
"
in harmony with,"un. 协调一致地；跟…调和；和衷共济；与…相合
"
in haste,"na. 急着；急忙地；仓促地
"
in high spirit,无
in honor of,"na. 向…表示敬意
"
in hot pursuit,"na. 紧追；穷追
"
in hot water, In hot water的意思并不是“在热水中”，它的确切意思是指某人或某些人遇到非常麻烦的问题了。
in itself,"na. 本身；实质上；“in itself/of itself”的变体
"
in keeping with,"na. 和…一致
"
in kind,"na. 用实物；以同样的方法(回敬)；性质上
"
in line,"un. 把话说死；排队；循规蹈矩；一列的
"
in line with,"na. 和…成一直线；〔美国〕和…一致
"
in memory of,"na. 纪念…
"
in nature,"na. 现在存在；事实上；究竟
"
in need of,"adj. 需要
"
in no case,"na. 决不
"
in no time,"na. 立刻
"
in no way,"na. 决不
"
in one's honor,无
in one's opinion,"na. 据某人意见
"
in one's presence,无
in one's shoes,穿着鞋子(量身高)
in one's spare time,无
in one's way,"na. 本来；有特色的
"
in the way,"na. 在路上；妨碍
"
in operation,"na. 活动着；运转着；施行着
"
in order that,"na. 以便
"
in order to,"na. 为了；从而；以便
"
in order,"na. 整整齐齐；合规则；情况正常；健康
"
in other words,"na. 换句话说
"
in part,"na. 一部份地；有几成；在某种程度上
"
in particular,"na. 特别；一一
"
in perspective,"na. 按照透视画法的[地]；展望中的[地]；正确的[地]
"
in place of,"na. 代替
"
in place,"na. 得其所；适当的
"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
"
in principle,"na. 原则上
"
in private,"na. 秘密地
"
in proportion,"un. 匀称；一分不多；按比例
"
in proportion to,"na. 与…成比例；与…相称；按…的比例(越…越…)
"
in prospect of,"有…希望,…在望"
in public,"na. 公然
"
in pursuit of,"na. 寻求
"
in quest of,"na. 为求…
"
in question,"adj. 在谈论中
"
in reality,"na. 事实上；实在
"
in reply to,"na. 为答复…；作为…的答复
"
in response to,"na. 应…而
"
in retrospect, 回顾；回顾过去；回想起来
in return for,"na. 作…的报酬[回礼]
"
in return,"na. 作报复[报酬,回答,报答]；作替换
"
in reverse order,"na. 次序颠倒地
"
in ruins, 成为废墟；一片废墟；成废墟
in scale,"na. 按照一定尺度
"
in search of,"na. 寻找；去找；追求；为了寻求
"
in secret,"na. 秘密地；偷偷摸摸地
"
in sequence,"na. 挨次；顺次；逐一
"
in short,"na. 简单地说；总之
"
in so far as,"na. 到…的程度；只要；(表示程度,范围)就…
"
in some cases,"na. 有时候
"
in spite of,"na. spite of 不管；〔古语〕无视
"
in step,"na. 齐步；“in/into step”的变体
"
in stock,"na. 有货
"
in store,"na. 准备着
"
in succession,adv. 接着，接连地; 连着; 相继不绝; 纷纷
in sum,"na. 总之
"
in summary,"adv. 扼要
"
in sympathy with,"na. 同情；赞成；跟着
"
in tears,"na. 流着泪
"
in terms of,"na. 依…；从…方面；用…特有的字眼
"
in that,"na. 因为；以…的理由
"
in the air,"na. (计划等)悬着；在空中；(谣言等)流传；【军】无掩护的
"
in the case of,"na. 论到
"
in the course of,"na. 在…之中
"
in the dark,"na. 秘密；在暗处；不知
"
in the distance,"na. 在远处；在很远的那边
"
in the end,"na. 终于
"
in the event of,"na. 万一在…的时候
"
in the face of,"na. 不避；不管；〈英〉在…前面；面临
"
in the first place,"na. 首先；第一
"
in the form of,"na. 用…的形式
"
in the shape of,"na. 以…的形状；呈…的形状；以…的形式；作为…
"
in the front of, 在……的前部；在……的前面；在里面的前面
in the grip of,"un. 控制自己的情绪；被捏在…里；在…控制之下；患了
"
in the habit of,"un. 养成习惯；一向；总得；动不动就
"
in the hand of,无
in the interest of,"na. 为了…的利益
"
in the last place,adv. 最后
in the least,"adv. 全然
"
in the long run,"na. 归根到底；“in the long run/term”的变体
"
in the main,"un. 〔交〕干线；(水电的)总干线；〔船〕主桅；就大体而言
"
in the matter of,"na. 关于…；就…而论
"
in the midst of, 在…当中，在…中间；意思是在某一进程之中；正当…的时候
in the neighborhood of,"na. 在…的附近；〈口〉大约
"
in the past,"na. 在过去
"
in the presence of,"na. 在…之前；面临着…
"
in the process of,"na. 在…的过程中
"
in the red,"n. 负债
"
in the saddle,"na. 骑着马；在职；统辖着
"
in the short term, 从短期来说；短期内；从眼前的观点看
in the long term,"na. 从长期看
"
in the vicinity, 在附近；在邻近；在附近地区
in the vicinity of,"na. 在…附近；靠近…的；在…上下；在…左右
"
in the wake of,"na. 在…后接踵而来；在后追随
"
in the way of,"na. 妨碍；在…方面；使能于
"
in the world,"na. 在世界上；究竟
"
in theory, 理论上；从理论上看；在理论上
in this case,"na. 既然是这样
"
in this way,"na. 用这个办法
"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
"
in tow, 拖着；在一起；陪伴着
in transit,"na. 运输中
"
in truth,"na. of a truth 真正；说实在话
"
